Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 480 mean	Nucleus: Opal 480 sum	Nucleus: Opal 480 std dev	Nucleus: Opal 480 max	Nucleus: Opal 480 min	Nucleus: Opal 480 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Opal 540 mean	Nucleus: Opal 540 sum	Nucleus: Opal 540 std dev	Nucleus: Opal 540 max	Nucleus: Opal 540 min	Nucleus: Opal 540 range	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Opal 620 mean	Nucleus: Opal 620 sum	Nucleus: Opal 620 std dev	Nucleus: Opal 620 max	Nucleus: Opal 620 min	Nucleus: Opal 620 range	Nucleus: Opal 650 mean	Nucleus: Opal 650 sum	Nucleus: Opal 650 std dev	Nucleus: Opal 650 max	Nucleus: Opal 650 min	Nucleus: Opal 650 range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 780 mean	Nucleus: Opal 780 sum	Nucleus: Opal 780 std dev	Nucleus: Opal 780 max	Nucleus: Opal 780 min	Nucleus: Opal 780 range	Nucleus: Autoflourescence mean	Nucleus: Autoflourescence sum	Nucleus: Autoflourescence std dev	Nucleus: Autoflourescence max	Nucleus: Autoflourescence min	Nucleus: Autoflourescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 480 mean	Cell: Opal 480 std dev	Cell: Opal 480 max	Cell: Opal 480 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Opal 540 mean	Cell: Opal 540 std dev	Cell: Opal 540 max	Cell: Opal 540 min	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Opal 620 mean	Cell: Opal 620 std dev	Cell: Opal 620 max	Cell: Opal 620 min	Cell: Opal 650 mean	Cell: Opal 650 std dev	Cell: Opal 650 max	Cell: Opal 650 min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 780 mean	Cell: Opal 780 std dev	Cell: Opal 780 max	Cell: Opal 780 min	Cell: Autoflourescence mean	Cell: Autoflourescence std dev	Cell: Autoflourescence max	Cell: Autoflourescence min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 480 mean	Cytoplasm: Opal 480 std dev	Cytoplasm: Opal 480 max	Cytoplasm: Opal 480 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Opal 540 mean	Cytoplasm: Opal 540 std dev	Cytoplasm: Opal 540 max	Cytoplasm: Opal 540 min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Opal 620 mean	Cytoplasm: Opal 620 std dev	Cytoplasm: Opal 620 max	Cytoplasm: Opal 620 min	Cytoplasm: Opal 650 mean	Cytoplasm: Opal 650 std dev	Cytoplasm: Opal 650 max	Cytoplasm: Opal 650 min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 780 mean	Cytoplasm: Opal 780 std dev	Cytoplasm: Opal 780 max	Cytoplasm: Opal 780 min	Cytoplasm: Autoflourescence mean	Cytoplasm: Autoflourescence std dev	Cytoplasm: Autoflourescence max	Cytoplasm: Autoflourescence min	Nucleus/Cell area ratio	Distance to detection with Glioma µm	Distance to detection with PVC µm	Distance to detection with Leukocyte µm	Distance to detection with Endothelial µm	Distance to detection with Astrocyte µm	Distance to detection with Negative µm	Distance to detection with TAMM µm	Distance to detection with Oligodendrocyte µm	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	db2163ef-6194-41f4-b060-eecc3a064e95	Glioma	Glioma	PathAnnotationObject	Polygon	876.7	51.54	23	18.8714	0.8116	7.1893	4.5595	0.7967	7.0945	673.981	2.3462	13.609	2.6338	10.9751	0	0	0	0	0	0	1.7955	170.5731	1.1831	4.9515	0	4.9515	1.5942	151.4489	2.5423	9.7721	0	9.7721	5.122	486.5897	1.9187	10.1593	1.7793	8.3799	2.9397	279.2668	0.7392	4.8325	1.5567	3.2758	38.6374	3670.5498	6.4696	47.4464	20.8826	26.5638	0.1344	12.7657	0.2766	1.5226	0	1.5226	0.93	88.3456	0.1393	1.1328	0.5451	0.5876	19.4974	1852.2489	3.0599	25.6832	12.5081	13.1751	67.25	32.3836	0.8058	11.6737	7.5596	0.7884	2.8341	3.5528	13.609	0	0.3495	1.882	17.3628	0	1.1275	0.9618	4.9515	0	1.2406	2.4371	15.2032	0	3.2693	2.0288	10.1593	0.0629	2.1391	0.8834	4.8325	0.4054	29.5546	9.8674	47.4464	13.4253	0.1039	0.2091	1.5226	0	0.7441	0.2369	1.1328	0.2109	15.9018	4.6339	27.0948	7.1318	0.5344	1.1597	5.4893	0	0.5382	2.3158	17.3628	0	0.7669	0.5498	3.2016	0	1.0498	2.3637	15.2032	0	2.2693	1.2262	7.3955	0.0629	1.7069	0.6122	3.5962	0.4054	24.652	7.667	47.1429	13.4253	0.0875	0.1599	0.687	0	0.6437	0.2174	1.1146	0.2109	13.9611	4.1586	27.0948	7.1318	0.3389	0	137.5158	48.9115	93.8027	277.8993	79.6026	23.5434	437.7919	7	45.7524	25.1293	139.3128	5.0153	174.616	402.9252
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	821fd4d9-c1c8-4310-af76-83ad150fa7b0	Glioma	Glioma	PathAnnotationObject	Polygon	851.44	55.96	58.5	28.8063	0.8859	9.4181	7.9326	0.4023	4.003	940.6937	1.0249	7.1337	1.0953	6.0384	0	0	0	0	0	0	0.6168	144.9591	0.3969	2.147	0	2.147	0	0	0	0	0	0	2.9675	697.3516	0.4776	4.3054	1.7605	2.5449	1.9709	463.1638	0.2768	2.8026	1.299	1.5036	35.2061	8273.4395	2.8469	43.8303	27.0723	16.758	0.4478	105.2369	0.4344	2.2355	0	2.2355	0.7653	179.8454	0.0931	1.1184	0.6185	0.4998	13.7245	3225.2615	1.73	19.8027	10.8906	8.9121	136	42.2383	0.9579	13.8765	12.3565	0.3637	1.8847	2.0232	7.1337	0	0.2349	1.3252	16.0254	0	0.8301	0.545	2.9405	0	0.5543	1.5595	13.1179	0	2.9257	0.6552	5.0376	0.6873	1.8869	0.386	2.8476	0.8112	32.9464	5.8288	43.8303	16.002	0.3055	0.3827	2.2355	0	0.7489	0.1185	1.1184	0.3601	14.9022	3.1347	29.6241	10.4677	0.2738	0.626	2.909	0	0.4136	1.7383	16.0254	0	0.9922	0.5855	2.9405	0.0093	0.9758	1.9685	13.1179	0	2.894	0.7623	5.0376	0.6873	1.823	0.4416	2.8476	0.8112	31.2278	6.8469	43.1766	16.002	0.1972	0.296	1.6446	0	0.7364	0.1334	1.0745	0.3601	15.7978	3.6313	29.6241	10.4677	0.4297	0	119.154	44.052	74.0407	292.0063	61.4982	32.9821	436.5884	5	37.2504	22.1497	105.1055	13.6107	108.2706	222.1129
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	a6bc9397-bd5d-4bff-bd73-8783de2d7504	Glioma	Glioma	PathAnnotationObject	Polygon	870.93	54.06	16	14.1873	0.9989	5.0689	3.9318	0.6276	4.6792	304.1494	1.0402	6.4305	2.3194	4.1111	0	0	0	0	0	0	1.7742	115.3241	0.9335	3.8513	0.0385	3.8128	0.5547	36.0585	1.4856	6.6043	0	6.6043	5.0487	328.1661	1.1354	7.9688	2.5338	5.435	2.3341	151.7189	0.5192	3.56	1.1567	2.4033	36.9388	2401.0205	5.1172	44.3055	22.8373	21.4682	0.6297	40.9302	0.511	1.9743	0	1.9743	0.833	54.1463	0.1308	1.1504	0.5993	0.5511	15.5598	1011.3882	1.4078	19.0604	10.5866	8.4737	48.75	25.7006	0.9275	9.291	6.662	0.6735	1.8113	2.2677	6.4305	0	0	0	0	0	1.1927	0.8334	3.8513	0.0088	0.2805	0.9513	6.6043	0	3.5596	1.5529	7.9688	0.7927	1.7807	0.7759	3.56	0.3079	29.9	9.8264	44.9061	8.4253	0.4187	0.418	1.9743	0	0.8138	0.1973	1.2966	0.4076	13.4782	3.4672	20.3866	5.2158	0.3883	1.0138	4.5346	0	0	0	0	0	0.9041	0.5999	2.2411	0.0088	0.1444	0.4634	3.7127	0	2.8207	1.1506	5.1489	0.7927	1.5061	0.7357	3.15	0.3079	26.4075	9.7408	44.9061	8.4253	0.314	0.3166	1.2328	0	0.8043	0.223	1.2966	0.4076	12.4453	3.7168	20.3866	5.2158	0.3087	0	133.0704	45.9607	89.1349	279.6285	75.0856	22.5851	436.3763	4	18.924	21.4232	27.8343	5.0153	131.9016	235.6358
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	e3405631-4bd8-41a3-a5a0-ca65fdc15c83	Leukocyte	Leukocyte	PathAnnotationObject	Polygon	1015.6	56.67	23.25	17.5988	0.9433	5.9948	5.1778	0.4693	13.1806	1291.6942	4.3946	23.3446	5.4788	17.8658	0	0	0	0	0	0	0	0	0	0	0	0	33.6571	3298.3945	5.1588	48.0378	25.567	22.4708	2.3456	229.8646	0.737	4.1506	0.2544	3.8962	5.3394	523.2578	0.8237	7.2396	3.5428	3.6968	13.7913	1351.5511	1.99	19.0394	9.9269	9.1125	0.7776	76.2087	0.457	1.9667	0.0269	1.9398	1.0258	100.5305	0.2304	1.4234	0.3972	1.0262	18.3309	1796.4299	2.5676	23.2318	11.9764	11.2554	74	30.8538	0.9768	10.3681	9.1565	0.4068	4.8624	6.5352	23.3446	0	0.7388	2.8397	19.3484	0	0.128	0.3139	1.7228	0	27.9328	10.2107	52.4933	5.5566	2.0676	1.2034	5.7919	0	4.1686	1.2975	7.2396	1.749	15.3471	4.7605	37.7029	8.4622	0.603	0.4346	1.9667	0	0.7592	0.2924	1.4234	0.2216	18.0043	5.8142	40.4209	8.5809	0.7453	1.7285	7.3606	0	1.1044	3.416	19.3484	0	0.1913	0.3679	1.7228	0	25.0996	10.8926	52.4933	5.5566	1.93	1.3578	5.7919	0	3.5891	1.0806	6.8078	1.749	16.1171	5.4941	37.7029	8.4622	0.5165	0.3967	1.6706	0	0.6273	0.2214	1.0456	0.2216	17.8426	6.8772	40.4209	8.5809	0.3147	18.1231	221.0114	0	165.0636	207.7685	44.7777	35.0177	429.5468	9	53.9027	50.3851	139.3128	8.1177	262.2578	603.8624
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	d3d7c482-1337-4111-b9a6-741e5b8cbb2a	Glioma	Glioma	PathAnnotationObject	Polygon	916.98	60.64	57.5	27.9199	0.9269	9.8657	7.7817	0.6032	6.2859	1464.6157	2.4097	12.9084	0	12.9084	0	0	0	0	0	0	1.7813	415.054	0.9505	4.136	0	4.136	0.6942	161.7371	1.4259	6.4944	0	6.4944	5.4649	1273.3121	1.1034	7.5047	1.9093	5.5954	2.2833	532.0098	0.4476	3.4954	1.1645	2.3309	36.2482	8445.8311	4.6507	46.6936	23.0987	23.5948	0.2579	60.0845	0.3018	1.2857	0	1.2857	0.9346	217.7509	0.1338	1.2504	0.4819	0.7684	15.7525	3670.3262	1.7893	20.589	11.8702	8.7188	134.25	41.8621	0.9627	14.1461	12.2329	0.4951	3.0342	3.3405	12.9084	0	0.0299	0.3685	5.3514	0	1.6645	0.8586	4.136	0	0.5472	1.3361	8.8691	0	4.4813	1.4961	7.5047	0.7966	2.1582	0.5662	3.4954	0.4697	34.7321	6.3674	47.1209	15.2109	0.1925	0.2779	1.4014	0	0.84	0.2023	1.318	0.2701	15.0721	2.5557	22.1367	7.2239	0.5582	1.019	4.649	0	0.0527	0.4882	5.3514	0	1.5755	0.7712	3.6571	0	0.4353	1.2544	8.8691	0	3.7324	1.3117	6.8295	0.7966	2.0629	0.6262	3.4456	0.4697	33.5777	7.209	47.1209	15.2109	0.1428	0.2473	1.4014	0	0.7679	0.2156	1.318	0.2701	14.554	2.9092	22.1367	7.2239	0.4253	0	152.0349	20.0256	122.6081	245.5408	79.6532	24.6342	427.2315	4	28.1322	25.4243	41.6492	20.0309	228.8229	298.5306
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	ec0dcaca-26c8-44a4-9eb4-2d7d08a12732	Leukocyte	Leukocyte	PathAnnotationObject	Polygon	937	59.84	19.5	16.2322	0.93	5.5746	4.9479	0.1842	9.9404	825.0496	3.2282	16.0134	2.2576	13.7558	0	0	0	0	0	0	0.09	7.4701	0.1956	0.829	0	0.829	30.7602	2553.0969	3.6107	41.7606	24.9667	16.7939	1.0278	85.3071	0.8306	3.0193	0	3.0193	4.2731	354.6635	0.5174	5.2439	3.177	2.0669	13.225	1097.6716	2.5087	18.6327	8.9386	9.6941	0.6179	51.2823	0.3279	1.4442	0.0113	1.4328	1.1316	93.9258	0.0843	1.357	0.9361	0.4209	21.6032	1793.0651	3.6827	40.1019	17.0849	23.0169	71.75	30.3867	0.9765	10.1656	9	0.3908	3.1656	4.7447	16.0134	0	2.0368	3.9442	13.3843	0	0.0654	0.1763	1.4144	0	29.3189	6.784	47.8473	8.7116	1.6168	1.1285	4.4696	0	4.0716	0.87	6.0726	1.8765	14.4314	3.0793	21.6259	8.6709	0.5545	0.3256	1.5598	0.0113	0.8922	0.2324	1.357	0.3465	22.733	6.5574	47.7641	11.2302	0.4092	1.0518	5.9361	0	2.8654	4.4194	13.3843	0	0.0554	0.1673	1.4144	0	28.7325	7.6405	47.8473	8.7116	1.8565	1.1472	4.4696	0	3.9897	0.9668	6.0726	1.8765	14.9222	3.1591	21.6259	8.6709	0.5287	0.3219	1.5598	0.0126	0.7948	0.2006	1.1376	0.3465	23.1926	7.3735	47.7641	11.2302	0.2705	20.0256	163.633	0	141.0993	235.0542	62.3857	35.1928	428.5427	7	45.9397	40.8884	78.5468	20.0309	386.1645	605.9175
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	dec457e9-268f-48d4-b9ab-c508bbaa4145	Glioma	Glioma	PathAnnotationObject	Polygon	838.65	60.53	19.25	17.1203	0.8253	6.5026	3.5617	0.8442	3.9284	322.1249	1.3014	6.8784	1.4236	5.4549	0	0	0	0	0	0	0.3735	30.626	0.3689	1.5766	0	1.5766	0.0092	0.7538	0.0733	0.6584	0	0.6584	2.2457	184.1445	0.3668	3.144	1.401	1.743	1.8164	148.9411	0.2295	2.4521	1.2662	1.1859	31.6402	2594.4956	3.592	41.7163	21.4315	20.2848	0.3878	31.801	0.4324	1.7309	0	1.7309	0.7086	58.108	0.1149	0.9808	0.4299	0.551	13.1159	1075.5027	0.9882	15.4392	11.4931	3.9461	72.25	31.1696	0.9345	11.0387	7.884	0.6882	1.1661	1.8811	6.8784	0	0.0015	0.0191	0.3171	0	0.6245	0.5462	2.4762	0	0.034	0.206	2.4608	0	2.115	0.6282	4.0731	0.621	1.7399	0.4206	2.9885	0.5624	30.3258	7.4874	47.3929	13.0266	0.3494	0.4304	2.2601	0	0.6289	0.2037	1.0369	0.1841	12.4552	1.6331	16.678	8.6156	0.0771	0.2519	1.9386	0	0.0021	0.0226	0.3171	0	0.7235	0.5731	2.4762	0	0.0438	0.2383	2.4608	0	2.0635	0.6992	4.0731	0.621	1.7097	0.4724	2.9885	0.5624	29.8077	8.501	47.3929	13.0266	0.3342	0.4297	2.2601	0	0.5975	0.2219	1.0369	0.1841	12.1948	1.7607	16.678	8.6156	0.265	0	108.7297	45.062	63.3162	298.4309	52.2482	42.3478	434.3609	4	40.3835	28.1972	91.5289	13.6107	242.0955	394.8003
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	001bc66b-4817-420e-ae7c-6520fd8fc5cc	Leukocyte	Leukocyte	PathAnnotationObject	Polygon	1011.4	64.05	22.75	17.3736	0.9471	6.111	4.6957	0.6349	7.7437	727.9031	2.3959	13.2277	3.463	9.7647	0	0	0	0	0	0	0.0044	0.4124	0.0274	0.2363	0	0.2363	24.3187	2285.9607	4.1607	37.4506	16.243	21.2075	2.0279	190.619	0.8017	4.4534	0.182	4.2714	3.3544	315.312	0.4621	4.7692	2.4221	2.3472	11.0589	1039.533	2.2856	19.2376	7.8039	11.4337	0.7563	71.089	0.346	1.5187	0.1452	1.3735	0.5904	55.501	0.1104	0.8165	0.4011	0.4154	15.0324	1413.0455	2.8858	31.3491	12.2417	19.1074	69.5	30.4385	0.9426	10.6765	8.2485	0.6326	2.8424	3.7987	13.2277	0	0.3147	1.214	9.4711	0	0.0791	0.2281	1.379	0	24.905	7.6386	39.5225	4.4055	1.8245	1.076	4.5632	0	3.2882	0.6654	4.8795	1.3669	14.5241	5.6783	33.2216	7.8039	0.575	0.381	1.5187	0	0.6105	0.1523	0.9775	0.2156	19.0638	6.3414	39.8676	10.5448	0.4175	0.9612	4.0189	0	0.4704	1.4606	9.4711	0	0.1161	0.2709	1.379	0	25.1951	8.8653	39.5225	4.4055	1.7238	1.1776	4.5632	0	3.2554	0.7447	4.8795	1.3669	16.2385	6.0648	33.2216	9.5736	0.4853	0.366	1.453	0	0.6204	0.1686	0.9775	0.2156	21.0582	6.6358	39.8676	10.5448	0.3282	10.32	213.53	0	166.5476	201.8531	36.7065	28.4562	424.505	4	18.8397	18.9536	29.3341	8.1177	117.6699	206.7166
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	1a1b1784-2da7-4b2c-84d5-6ed085f8407e	Glioma	Glioma	PathAnnotationObject	Polygon	892.46	69.62	54.5	27.5021	0.9055	10.2103	6.724	0.7553	10.3137	2299.9448	2.5477	19.5824	4.5119	15.0704	0.0025	0.5579	0.0301	0.4411	0	0.4411	0.6613	147.4603	0.9871	3.9477	0	3.9477	0.5649	125.9621	1.4168	7.7495	0	7.7495	5.6384	1257.3613	1.4492	9.2135	1.9996	7.2139	3.1268	697.274	0.6327	4.7112	1.4826	3.2286	44.1385	9842.8896	8.4349	57.4599	20.5698	36.8901	0.2503	55.818	0.4072	1.8836	0	1.8836	0.8019	178.8329	0.1642	1.2318	0.535	0.6967	22.2018	4950.9907	2.6616	28.3297	14.2239	14.1059	119.75	40.3749	0.9231	14.6443	9.7449	0.7285	5.0795	5.2424	19.5824	0	0.3145	1.3725	11.219	0	0.7301	0.7605	3.9477	0	1.6136	2.9286	16.7377	0	4.0433	1.9889	9.8484	0.0424	2.4635	0.8619	4.7112	0.8256	32.9932	12.4556	57.4599	12.1108	0.2072	0.3617	2.122	0	0.727	0.1798	1.2318	0.3154	18.704	5.0738	32.4538	7.3966	0.573	1.2589	7.4047	0	0.5831	1.8316	11.219	0	0.7894	0.4818	2.8241	0	2.5165	3.5347	16.7377	0	2.6699	1.2146	9.8484	0.0424	1.8924	0.5771	4.5981	0.8256	23.3971	5.311	35.6909	12.1108	0.17	0.3135	2.122	0	0.6625	0.1676	1.0821	0.3154	15.6924	4.7137	32.4538	7.3966	0.4466	0	132.6611	41.6759	96.5559	253.5305	81.2058	15.2224	418.4902	5	19.7265	24.3646	26.2151	8.2434	177.1535	298.5306
Gbg LGG TMA 5 Panel 2_Core[1,10,I]_[20907,48258]_component_data.tif - resolution #1	24840098-7bd4-48d9-96f3-7f5c43dde2bb	TAMM	TAMM	PathAnnotationObject	Polygon	1072	68.97	27.5	20.2687	0.8412	7.4274	5.0196	0.7752	2.8247	316.3614	0.8825	4.5226	0.952	3.5706	2.8382	317.8806	2.0789	7.1755	0	7.1755	0.0009	0.0996	0.0063	0.0562	0	0.0562	6.8712	769.573	1.3333	10.7834	3.6789	7.1045	2.7652	309.6971	0.4957	4.0226	1.0788	2.9438	1.6682	186.8423	0.2577	2.3266	0.8653	1.4613	14.9892	1678.7885	1.5834	19.0472	11.5444	7.5029	0.5111	57.2456	0.305	1.4459	0.0417	1.4043	0.5576	62.4519	0.0706	0.8338	0.3983	0.4354	28.671	3211.1479	2.254	34.0769	23.6492	10.4276	76	32.1391	0.9246	10.7748	9.4924	0.258	1.1797	1.4211	4.5226	0	2.4937	2.5414	12.7353	0	0.1676	0.4052	2.76	0	6.6717	2.3578	13.0739	0	2.4127	0.7936	5.3157	0.0549	2.0107	0.4971	3.4339	0.8653	18.8321	6.3166	45.7207	11.4656	0.3968	0.2957	1.4459	0	0.6759	0.1533	1.1472	0.3983	24.1884	5.4526	34.6012	12.8358	0.2398	0.5423	3.0899	0	2.2969	2.757	12.7353	0	0.2628	0.4831	2.76	0	6.5577	2.7756	13.0739	0	2.2112	0.8599	5.3157	0.0549	2.2065	0.4953	3.4339	1.2388	21.028	6.9325	45.7207	11.4656	0.3315	0.27	1.308	0	0.7436	0.1466	1.1472	0.4697	21.6269	5.0773	34.6012	12.8358	0.3526	6.7971	262.6209	57.1961	107.7052	191.0678	86.5839	0.01	400.5112	5	25.3558	18.9988	58.4218	6.7877	172.2769	461.0893
