Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 480 mean	Nucleus: Opal 480 sum	Nucleus: Opal 480 std dev	Nucleus: Opal 480 max	Nucleus: Opal 480 min	Nucleus: Opal 480 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Opal 540 mean	Nucleus: Opal 540 sum	Nucleus: Opal 540 std dev	Nucleus: Opal 540 max	Nucleus: Opal 540 min	Nucleus: Opal 540 range	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Opal 620 mean	Nucleus: Opal 620 sum	Nucleus: Opal 620 std dev	Nucleus: Opal 620 max	Nucleus: Opal 620 min	Nucleus: Opal 620 range	Nucleus: Opal 650 mean	Nucleus: Opal 650 sum	Nucleus: Opal 650 std dev	Nucleus: Opal 650 max	Nucleus: Opal 650 min	Nucleus: Opal 650 range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 780 mean	Nucleus: Opal 780 sum	Nucleus: Opal 780 std dev	Nucleus: Opal 780 max	Nucleus: Opal 780 min	Nucleus: Opal 780 range	Nucleus: Autoflourescence mean	Nucleus: Autoflourescence sum	Nucleus: Autoflourescence std dev	Nucleus: Autoflourescence max	Nucleus: Autoflourescence min	Nucleus: Autoflourescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 480 mean	Cell: Opal 480 std dev	Cell: Opal 480 max	Cell: Opal 480 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Opal 540 mean	Cell: Opal 540 std dev	Cell: Opal 540 max	Cell: Opal 540 min	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Opal 620 mean	Cell: Opal 620 std dev	Cell: Opal 620 max	Cell: Opal 620 min	Cell: Opal 650 mean	Cell: Opal 650 std dev	Cell: Opal 650 max	Cell: Opal 650 min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 780 mean	Cell: Opal 780 std dev	Cell: Opal 780 max	Cell: Opal 780 min	Cell: Autoflourescence mean	Cell: Autoflourescence std dev	Cell: Autoflourescence max	Cell: Autoflourescence min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 480 mean	Cytoplasm: Opal 480 std dev	Cytoplasm: Opal 480 max	Cytoplasm: Opal 480 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Opal 540 mean	Cytoplasm: Opal 540 std dev	Cytoplasm: Opal 540 max	Cytoplasm: Opal 540 min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Opal 620 mean	Cytoplasm: Opal 620 std dev	Cytoplasm: Opal 620 max	Cytoplasm: Opal 620 min	Cytoplasm: Opal 650 mean	Cytoplasm: Opal 650 std dev	Cytoplasm: Opal 650 max	Cytoplasm: Opal 650 min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 780 mean	Cytoplasm: Opal 780 std dev	Cytoplasm: Opal 780 max	Cytoplasm: Opal 780 min	Cytoplasm: Autoflourescence mean	Cytoplasm: Autoflourescence std dev	Cytoplasm: Autoflourescence max	Cytoplasm: Autoflourescence min	Nucleus/Cell area ratio	Distance to detection with Glioma µm	Distance to detection with PVC µm	Distance to detection with Leukocyte µm	Distance to detection with Endothelial µm	Distance to detection with Astrocyte µm	Distance to detection with Negative µm	Distance to detection with TAMM µm	Distance to detection with Oligodendrocyte µm	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	71871fb0-3ae0-4e38-9617-c95a2b7350a3	Glioma	Glioma	PathAnnotationObject	Polygon	695.08	202.3	47.25	28.4873	0.7317	10.6086	6.0673	0.8163	3.607	696.1421	0.8024	6.4806	2.1422	4.3384	0	0	0	0	0	0	0.0087	1.6777	0.0461	0.4323	0	0.4323	0	0	0	0	0	0	1.3834	266.9972	0.571	3.124	0.3926	2.7314	0.9051	174.689	0.3726	1.6186	0	1.6186	29.4847	5690.5562	4.9953	40.2176	20.4475	19.7701	0.4667	90.0695	0.4721	2.1472	0	2.1472	0.5666	109.3468	0.176	0.937	0.2224	0.7145	12.5465	2421.4807	2.8464	20.3545	8.1911	12.1634	113	40.8868	0.8494	14.5376	10.3582	0.6677	1.964	1.7146	6.4806	0	0	0	0	0	0.1399	0.3924	2.9773	0	0.1189	0.6084	6.8914	0	1.8065	1.0762	6.3513	0.2756	1.0549	0.4633	2.6543	0	28.3128	5.9847	44.5692	13.2329	0.3859	0.4646	2.7285	0	0.6215	0.192	1.0923	0.2224	13.0063	3.1743	25.7847	8.1911	0.7491	1.0776	4.8768	0	0	0	0	0	0.2368	0.4944	2.9773	0	0.2068	0.7916	6.8914	0	2.1194	1.2434	6.3513	0.2756	1.1657	0.4925	2.6543	0	27.4463	6.4965	44.5692	13.2329	0.3262	0.4507	2.7285	0	0.6622	0.1936	1.0923	0.2564	13.3462	3.3615	25.7847	8.2016	0.4232	0	164.6802	522.7924	378.7329	72.4382	27.2979	53.6242	39.2238	8	190.662	150.0356	428.5337	10.2374	1995.2793	6397.5293
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	c707bbc5-003c-443a-8c44-0d03161ac35a	Glioma	Glioma	PathAnnotationObject	Polygon	684.75	205.89	99	38.9469	0.8202	14.8842	8.3514	0.8276	5.2578	2082.1079	1.051	8.4663	2.0726	6.3938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5752	623.7811	0.4884	3.2332	0.6959	2.5373	0.9403	372.3647	0.4237	2.2188	0	2.2188	38.6484	15304.7803	5.043	50.5088	28.7697	21.739	0.7581	300.2082	0.6139	3.2	0	3.2	0.5128	203.0505	0.1549	1.0475	0.2754	0.7721	13.0254	5158.0664	1.83	17.8954	9.3508	8.5447	187.75	52.4378	0.858	19.3169	12.2657	0.7743	3.0418	2.5805	8.4663	0	0.001	0.0154	0.2534	0	0.0482	0.1648	1.6297	0	0.2116	0.8471	7.0106	0	1.7187	0.6913	4.3976	0.5366	1.0687	0.5418	3.2675	0	35.0726	7.9047	50.5088	9.1029	0.5993	0.6419	3.5151	0	0.6243	0.231	1.7671	0.2754	13.9393	3.078	27.4169	7.0567	0.5767	1.1341	4.4213	0	0.0021	0.0224	0.2534	0	0.1017	0.228	1.6297	0	0.4469	1.1885	7.0106	0	1.8784	0.8349	4.3976	0.5366	1.2115	0.6184	3.2675	0	31.095	8.5883	49.1339	9.1029	0.4226	0.6268	3.5151	0	0.7483	0.2384	1.7671	0.308	14.9559	3.7879	27.4169	7.0567	0.5271	0.01	154.4469	522.2409	374.9323	62.4773	23.0308	43.5378	34.2043	4	18.9635	18.2824	29.0518	10.2374	89.2952	155.0097
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	9e06aabb-bb91-4455-ac5b-9fa8c5db7221	Glioma	Glioma	PathAnnotationObject	Polygon	656	206.58	17.75	20.4182	0.535	8.177	3.5969	0.905	4.0392	294.8628	0.9252	5.9561	1.8992	4.0569	0	0	0	0	0	0	0	0	0	0	0	0	0.0081	0.5946	0.0696	0.5946	0	0.5946	1.6171	118.0499	0.4213	2.7212	1.0259	1.6953	0.9466	69.1026	0.435	1.5821	0	1.5821	34.9493	2551.2976	4.999	47.109	25.7415	21.3676	0.5527	40.3503	0.6525	2.5729	0	2.5729	0.5287	38.5929	0.1534	1.0375	0.3145	0.723	13.8785	1013.1335	1.5969	17.1293	10.6309	6.4984	73	32.5312	0.8668	11.8342	8.0407	0.7234	2.277	2.0731	5.9561	0	0.0001	0.0022	0.037	0	0.0981	0.3037	2.1902	0	0.6663	2.0726	14.932	0	2.3408	1.3273	7.931	0.9294	1.0464	0.5074	2.6259	0	34.8824	7.6383	54.7679	12.6231	0.5167	0.7258	3.7057	0	0.7041	0.3141	1.5878	0.2426	15.223	2.6245	22.8853	9.9894	1.6975	2.0188	5.6352	0	0.0002	0.0025	0.037	0	0.1303	0.3442	2.1902	0	0.8828	2.3501	14.932	0	2.5788	1.4339	7.931	0.9294	1.0792	0.5258	2.6259	0	34.8603	8.335	54.7679	12.6231	0.5049	0.7494	3.7057	0	0.7617	0.3318	1.5878	0.2426	15.6651	2.7457	22.8853	9.9894	0.2319	0	127.0428	531.1956	353.4474	41.4092	38.7582	23.3697	43.6391	6	37.2817	26.2092	107.0682	9.3145	72.7904	182.9095
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	38cb8779-3344-4a0f-9a8f-9560c69df8b7	Glioma	Glioma	PathAnnotationObject	Polygon	671.78	209.01	65	29.3906	0.9456	10.0934	8.4971	0.5105	4.3434	1151.0062	1.0895	7.7074	1.9028	5.8046	0	0	0	0	0	0	0.0017	0.4514	0.0223	0.3485	0	0.3485	0	0	0	0	0	0	1.3384	354.6833	0.4499	3.1038	0.4902	2.6136	0.9795	259.5652	0.279	1.7171	0.1928	1.5243	27.108	7183.6167	3.0545	37.9705	19.8455	18.1251	0.2199	58.2685	0.3067	2.0142	0	2.0142	0.5621	148.9539	0.1428	0.8843	0.3007	0.5836	11.375	3014.3621	1.7438	16.1482	8.2805	7.8677	142.75	42.7591	0.9811	14.1709	12.9067	0.373	2.3327	2.1554	7.7074	0	0	0	0	0	0.0953	0.3598	3.0276	0	0.0696	0.4173	5.0002	0	1.7157	1.2217	7.2077	0.4505	1.0762	0.3824	2.1671	0.1425	26.3927	7.6903	50.2532	6.0482	0.1523	0.2543	2.0142	0	0.6691	0.2617	1.5687	0.2844	13.1006	3.977	31.0359	4.9284	0.6026	1.0686	5.0239	0	0	0	0	0	0.1759	0.4761	3.0276	0	0.1296	0.5627	5.0002	0	2.0403	1.5421	7.2077	0.4505	1.1593	0.4365	2.1671	0.1425	25.7773	10.067	50.2532	6.0482	0.0942	0.1797	1.1107	0	0.7612	0.3028	1.5687	0.2844	14.5853	4.6981	31.0359	4.9284	0.4525	0	140.9897	523.5765	363.1827	50.1619	25.4581	30.9836	33.4446	5	23.8893	25.4617	33.4503	13.5373	199.6426	493.1123
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	252a972d-e46f-47fb-bff6-684a4da6ebab	Glioma	Glioma	PathAnnotationObject	Polygon	646.84	209.7	20.25	17.898	0.7944	6.4185	4.6079	0.7441	3.3399	287.2342	1.2675	5.9754	0.9933	4.9821	0.873	75.0805	1.6185	7.943	0	7.943	0.0008	0.0701	0.0076	0.0701	0	0.0701	1.4075	121.0431	1.487	6.3074	0	6.3074	2.6715	229.7477	0.5697	4.5626	0.6153	3.9473	0.5322	45.7658	0.169	0.9501	0.0918	0.8583	17.8693	1536.7629	7.1304	39.8052	11.4181	28.3871	0.3246	27.918	0.6277	3.531	0	3.531	0.5366	46.1435	0.0692	0.68	0.3916	0.2883	25.4535	2189.0046	3.0446	34.9592	20.1274	14.8318	72	31.2357	0.9273	11.1813	8.2494	0.6551	1.5212	1.7048	5.9754	0	2.2645	3.067	12.315	0	0.0734	0.2051	1.1016	0	3.3009	3.8113	16.5832	0	2.3666	0.8595	4.5626	0.0127	0.9369	0.5055	2.3941	0.0232	20.743	8.6744	52.7442	11.4181	0.2979	0.6457	3.531	0	0.6276	0.1521	1.2712	0.3916	24.5621	4.3399	39.7188	12.8412	0.7468	1.2052	4.6002	0	2.8569	3.338	12.315	0	0.1043	0.2384	1.1016	0	4.107	4.1975	16.5832	0	2.2369	0.9279	4.3328	0.0127	1.1092	0.5029	2.3941	0.0232	21.9665	8.9946	52.7442	11.7217	0.2865	0.6543	3.307	0	0.6664	0.161	1.2712	0.4032	24.1825	4.7423	39.7188	12.8412	0.2831	0	117.7611	531.7238	345.1849	34.707	40.6958	19.0136	47.8861	5	49.5834	40.6988	97.7551	9.3145	296.7685	810.441
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	0aed2869-4b1e-49c4-a745-d128eda22f1c	TAMM	TAMM	PathAnnotationObject	Polygon	647.78	228.68	30.75	21.8531	0.8092	8.4123	4.8373	0.8485	5.1703	651.459	2.1848	10.6417	1.2836	9.3582	11.6536	1468.3583	2.9522	18.0728	5.9304	12.1424	0	0	0	0	0	0	3.2979	415.5367	3.9838	18.343	0	18.343	2.8157	354.7834	0.8517	4.8148	0.2023	4.6124	1.0971	138.2302	0.2488	1.6822	0.3557	1.3265	20.0023	2520.2917	3.7892	26.8744	11.3936	15.4808	0.0252	3.1761	0.0721	0.4515	0	0.4515	0.9079	114.3908	0.0771	1.1845	0.7723	0.4122	38.9905	4912.8032	3.783	51.831	31.1195	20.7115	94.5	35.9201	0.9204	12.8241	9.5443	0.6946	2.0076	2.6417	10.6417	0	8.9185	4.0844	18.1283	0	0.0396	0.1577	1.1918	0	7.3894	5.0866	24.8278	0	1.6981	1.1909	4.8148	0	1.0123	0.2995	2.224	0.1902	14.9089	5.1052	26.8744	4.1876	0.0438	0.0871	0.5841	0	0.7547	0.1795	1.1845	0.315	29.1603	10.4527	51.831	7.4956	0.4388	0.802	3.2215	0	7.5617	3.8872	18.1283	0	0.0592	0.1899	1.1918	0	9.4191	4.2947	24.8278	1.8524	1.1436	0.9141	4.5209	0	0.9703	0.3137	2.224	0.1902	12.3823	3.5525	23.2541	4.1876	0.053	0.0925	0.5841	0	0.6786	0.1668	1.1293	0.315	24.2839	9.198	50.2244	7.4956	0.3235	19.0136	112.3092	513.8725	332.2833	19.1993	29.1243	0	37.9698	8	28.5496	27.639	42.577	19.0154	273.6159	561.0946
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	7dfe2bea-65cb-4219-9e29-39e20a1d1f5b	Negative	Negative	PathAnnotationObject	Polygon	687.74	228.82	35.75	21.461	0.9754	7.0704	6.5276	0.3809	6.4441	934.401	1.5605	9.4322	2.1555	7.2767	0	0	0	0	0	0	0.0071	1.0324	0.0381	0.3053	0	0.3053	1.6543	239.8678	2.6457	14.4199	0	14.4199	20.9548	3038.4434	7.1103	32.7935	3.9943	28.7992	3.9406	571.382	1.4429	6.9521	0.8123	6.1398	18.8516	2733.4819	3.5146	24.3187	9.5006	14.818	0	0	0	0	0	0	0.8191	118.7646	0.1018	1.0813	0.5144	0.567	19.6745	2852.7969	5.1674	34.8407	11.5349	23.3058	97.25	35.2798	0.9819	11.535	10.8423	0.2073	2.6164	3.1523	9.4322	0	0.0913	0.2971	2.7743	0	0.1657	0.2949	1.9917	0	2.4285	3.0811	17.1683	0	10.3465	9.6407	32.7935	1.0256	2.1787	1.6854	6.9521	0.196	13.9222	5.4103	24.3187	4.0123	0.0261	0.0627	0.4361	0	0.7074	0.2299	1.2974	0.2221	15.3908	6.4578	34.8407	5.252	0.3601	0.7772	3.4192	0	0.1452	0.3642	2.7743	0	0.2592	0.3376	1.9917	0	2.8848	3.2301	17.1683	0	4.0937	3.518	17.24	1.0256	1.1402	0.615	3.3962	0.196	11.0167	4.0592	21.7768	4.0123	0.0415	0.075	0.4361	0	0.6415	0.2575	1.2974	0.2221	12.8659	5.7818	32.7694	5.252	0.3607	23.0209	151.3366	499.6494	352.4569	55.5811	0	39.9705	11.9471	6	45.915	26.3803	106.3784	11.942	671.6599	1875.3187
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	5725a50e-dd51-4211-bd55-01911ae211d8	Oligodendrocyte	Oligodendrocyte	PathAnnotationObject	Polygon	553.4	238.32	19	21.7821	0.5032	7.2809	4.3811	0.8789	1.6265	130.1198	0.647	2.8383	0	2.8383	0.0114	0.9138	0.0761	0.6164	0	0.6164	0.013	1.0384	0.0373	0.2006	0	0.2006	0.3411	27.2883	0.7294	4.0071	0	4.0071	10.3934	831.4733	2.6675	15.7728	3.0339	12.7389	2.6749	213.9948	0.6512	3.9636	1.1296	2.834	15.1731	1213.8457	2.922	24.6127	10.4972	14.1155	0.0044	0.353	0.0303	0.269	0	0.269	0.6732	53.857	0.1544	1.1279	0.4978	0.6301	13.1678	1053.4242	3.3129	26.6059	9.6455	16.9604	67	34.0531	0.7261	11.8951	7.8487	0.8012	0.5362	0.8059	2.8383	0	0.0829	0.2332	1.2783	0	0.12	0.2032	0.9199	0	0.6848	0.9808	5.6554	0	6.2851	4.7189	17.2813	0.3138	1.7292	1.0609	4.0502	0.057	13.7988	5.2252	25.3689	1.7156	0.0557	0.1091	0.5975	0	0.6649	0.2243	1.1972	0.1162	12.3049	4.3052	26.6059	2.3004	0.0819	0.207	1.3362	0	0.1127	0.2678	1.2783	0	0.1647	0.2263	0.9199	0	0.8279	1.0367	5.6554	0	4.5733	4.3171	17.2813	0.3138	1.3351	0.9438	4.0502	0.057	13.2262	5.8383	25.3689	1.7156	0.077	0.1223	0.5975	0	0.6614	0.2479	1.1972	0.1162	11.9454	4.617	24.2531	2.3004	0.2784	23.3993	23.1134	548.6532	263.9044	80.0947	48.7107	66.0149	0	6	45.5787	23.2589	107.0682	3.9621	107.8771	326.4158
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	b341e473-569a-4729-913c-011d15733836	Oligodendrocyte	Oligodendrocyte	PathAnnotationObject	Polygon	684.07	240.12	36.75	22.9889	0.8738	7.8734	5.8219	0.6702	2.6567	393.1956	1.0274	6.6862	1.0968	5.5894	0.0019	0.2806	0.0157	0.1765	0	0.1765	0.0051	0.7488	0.0323	0.2728	0	0.2728	0.1454	21.5241	0.6083	4.6566	0	4.6566	12.449	1842.4595	4.4584	21.9123	2.9812	18.9311	2.8796	426.1801	0.9492	4.4661	0.7652	3.7009	13.0884	1937.0792	3.6609	21.0819	4.8495	16.2325	0	0	0	0	0	0	0.5684	84.1281	0.1926	0.9501	0.2221	0.728	12.3376	1825.9719	2.7816	18.3077	7.5832	10.7245	102.25	36.2633	0.9771	12.2389	10.3709	0.4845	1.0783	1.3691	6.6862	0	0.3346	0.6974	6.5715	0	0.1047	0.2054	1.3716	0	0.8031	1.6183	7.5725	0	6.5626	5.5697	21.9123	0.6732	1.6513	1.2091	4.4661	0.0782	11.1679	4.9065	21.0819	1.8708	0.0279	0.067	0.4572	0	0.536	0.2537	1.1207	0.1312	11.2992	4.233	22.2521	2.8216	0.19	0.3764	1.9706	0	0.5218	0.8144	6.5715	0	0.1608	0.2381	1.3716	0	1.1733	1.8732	7.5725	0	3.25	2.6085	14.7251	0.6732	0.9601	0.6712	3.531	0.0782	10.0871	5.1862	20.8017	1.8708	0.0436	0.0796	0.4572	0	0.5177	0.281	1.1207	0.1312	10.7149	4.7694	22.2521	2.8216	0.359	33.4482	145.9408	490.1499	341.2849	50.3224	11.9439	37.9793	0.01	5	37.6343	33.4503	74.3607	11.942	525.1926	1068.7172
Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1	d92c8bca-3d61-42e5-89c3-b947e359fafb	Oligodendrocyte	Oligodendrocyte	PathAnnotationObject	Polygon	571.8	239.8	16.5	14.9345	0.9296	5.102	4.2495	0.6181	2.3672	165.7057	0.6965	3.5888	0.9052	2.6836	0.005	0.3516	0.042	0.3516	0	0.3516	0.0173	1.211	0.0452	0.2469	0	0.2469	0.6617	46.3223	1.3633	5.3634	0	5.3634	6.4319	450.2299	1.8403	9.3641	2.6168	6.7473	1.7879	125.1552	0.5219	2.7441	0.7292	2.0149	11.3204	792.4283	2.4448	17.0623	5.3174	11.7449	0.0061	0.4253	0.0278	0.2001	0	0.2001	0.5738	40.1635	0.1185	0.8498	0.3606	0.4892	11.85	829.4983	1.7823	15.0859	7.9068	7.179	64.25	28.9431	0.9638	9.7324	8.5	0.3735	0.7038	1.0901	3.5888	0	0.1928	0.3207	1.384	0	0.0737	0.1431	0.7173	0	0.8493	1.681	7.4428	0	2.9296	2.5204	9.3641	0.2535	1.0644	0.6451	2.7441	0.1	9.4437	4.2953	18.8323	1.3501	0.0364	0.0782	0.4835	0	0.4724	0.2202	1.0385	0.1088	9.3692	3.5292	15.4099	2.0957	0.091	0.2211	1.1698	0	0.2619	0.3499	1.384	0	0.0945	0.1603	0.7173	0	0.9184	1.7821	7.4428	0	1.6392	1.119	5.651	0.2535	0.7978	0.4534	1.972	0.1	8.7522	4.6169	18.8323	1.3501	0.0476	0.0874	0.4835	0	0.435	0.2369	1.0385	0.1088	8.4552	3.5762	15.4099	2.0957	0.2543	40.6312	36.7118	538.0073	273.2202	61.9365	49.8535	61.7033	0	6	46.9732	52.7595	81.1332	15.3101	675.6649	1536.1129
