Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 480 mean	Nucleus: Opal 480 sum	Nucleus: Opal 480 std dev	Nucleus: Opal 480 max	Nucleus: Opal 480 min	Nucleus: Opal 480 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Opal 540 mean	Nucleus: Opal 540 sum	Nucleus: Opal 540 std dev	Nucleus: Opal 540 max	Nucleus: Opal 540 min	Nucleus: Opal 540 range	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Opal 620 mean	Nucleus: Opal 620 sum	Nucleus: Opal 620 std dev	Nucleus: Opal 620 max	Nucleus: Opal 620 min	Nucleus: Opal 620 range	Nucleus: Opal 650 mean	Nucleus: Opal 650 sum	Nucleus: Opal 650 std dev	Nucleus: Opal 650 max	Nucleus: Opal 650 min	Nucleus: Opal 650 range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 780 mean	Nucleus: Opal 780 sum	Nucleus: Opal 780 std dev	Nucleus: Opal 780 max	Nucleus: Opal 780 min	Nucleus: Opal 780 range	Nucleus: Autoflourescence mean	Nucleus: Autoflourescence sum	Nucleus: Autoflourescence std dev	Nucleus: Autoflourescence max	Nucleus: Autoflourescence min	Nucleus: Autoflourescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 480 mean	Cell: Opal 480 std dev	Cell: Opal 480 max	Cell: Opal 480 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Opal 540 mean	Cell: Opal 540 std dev	Cell: Opal 540 max	Cell: Opal 540 min	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Opal 620 mean	Cell: Opal 620 std dev	Cell: Opal 620 max	Cell: Opal 620 min	Cell: Opal 650 mean	Cell: Opal 650 std dev	Cell: Opal 650 max	Cell: Opal 650 min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 780 mean	Cell: Opal 780 std dev	Cell: Opal 780 max	Cell: Opal 780 min	Cell: Autoflourescence mean	Cell: Autoflourescence std dev	Cell: Autoflourescence max	Cell: Autoflourescence min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 480 mean	Cytoplasm: Opal 480 std dev	Cytoplasm: Opal 480 max	Cytoplasm: Opal 480 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Opal 540 mean	Cytoplasm: Opal 540 std dev	Cytoplasm: Opal 540 max	Cytoplasm: Opal 540 min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Opal 620 mean	Cytoplasm: Opal 620 std dev	Cytoplasm: Opal 620 max	Cytoplasm: Opal 620 min	Cytoplasm: Opal 650 mean	Cytoplasm: Opal 650 std dev	Cytoplasm: Opal 650 max	Cytoplasm: Opal 650 min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 780 mean	Cytoplasm: Opal 780 std dev	Cytoplasm: Opal 780 max	Cytoplasm: Opal 780 min	Cytoplasm: Autoflourescence mean	Cytoplasm: Autoflourescence std dev	Cytoplasm: Autoflourescence max	Cytoplasm: Autoflourescence min	Nucleus/Cell area ratio	Distance to detection with Glioma µm	Distance to detection with PVC µm	Distance to detection with Leukocyte µm	Distance to detection with Endothelial µm	Distance to detection with Astrocyte µm	Distance to detection with Negative µm	Distance to detection with TAMM µm	Distance to detection with Oligodendrocyte µm	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	fc3b6a55-61dd-465c-a6a3-4b17c637772d	Glioma	Glioma	PathAnnotationObject	Polygon	918.34	116.3	16.5	14.6036	0.9722	4.9413	3.9576	0.5547	2.3897	162.4994	0.7225	4.0184	0.5624	3.456	0	0	0	0	0	0	0.1466	9.9715	0.2691	1.0914	0	1.0914	1.4257	96.9442	1.456	4.5596	0	4.5596	2.677	182.0364	0.8045	4.2912	1.219	3.0722	1.8513	125.8864	0.4344	3.0874	0.8811	2.2063	25.1712	1711.6421	5.3273	32.3406	12.645	19.6956	0.0275	1.868	0.0964	0.6909	0	0.6909	1.0644	72.3804	0.2026	1.3724	0.5857	0.7867	18.2051	1237.9443	3.1064	23.3494	9.5337	13.8158	63	28.3394	0.9858	9.3969	8.4121	0.3792	0.676	1.1117	4.0184	0	0.0017	0.0224	0.3506	0	0.2962	0.3936	2.3951	0	0.7006	1.0887	4.5596	0	2.528	0.812	4.9682	1.219	1.6897	0.4343	3.0874	0.7789	23.1058	6.9113	37.1763	11.756	0.0349	0.0979	0.6909	0	0.967	0.2433	1.4282	0.5705	16.023	3.7562	23.3494	8.7914	0.0495	0.1649	1.1279	0	0.0023	0.0262	0.3506	0	0.3509	0.4176	2.3951	0	0.4355	0.7677	3.4528	0	2.4735	0.81	4.9682	1.2369	1.6307	0.4201	2.6672	0.7789	22.3507	7.2735	37.1763	11.756	0.0377	0.0985	0.5779	0	0.9314	0.2477	1.4282	0.5705	15.2253	3.6621	22.0432	8.7914	0.2513	0	68.0195	283.7505	55.8767	108.4094	151.8357	29.2976	146.3321	10	58.7274	58.1567	101.8092	27.1397	355.5706	764.2084
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	aac30655-0573-4090-9163-25e92d027a28	TAMM	TAMM	PathAnnotationObject	Polygon	816.31	118.97	22.25	20.212	0.6844	8.5374	3.627	0.9089	6.9959	643.627	3.3763	18.4859	2.6684	15.8176	12.6935	1167.7999	2.2816	18.3301	7.0907	11.2394	0.0197	1.8092	0.079	0.5757	0	0.5757	5.3294	490.3029	1.7868	8.7187	0.4513	8.2673	3.0891	284.1981	0.8987	5.0549	1.3636	3.6912	2.034	187.1244	0.6018	3.5797	0.6152	2.9645	13.1985	1214.2665	1.5108	17.3679	9.9854	7.3826	0.284	26.1291	0.281	1.1744	0	1.1744	0.3844	35.3624	0.0804	0.5857	0.2532	0.3326	37.2783	3429.6023	6.7054	47.0743	17.2856	29.7887	84	34.5573	0.8839	13.0826	8	0.8009	3.3652	4.011	18.4859	0	9.1097	5.5965	28.1645	0	0.1188	0.2395	1.3409	0	3.3394	2.3673	8.7187	0	2.4177	0.9003	5.0549	0.2152	1.604	0.5619	3.5797	0.2731	14.4128	2.5874	23.7942	7.3399	0.2127	0.26	1.195	0	0.5328	0.1515	0.9557	0.2532	27.4982	9.9191	47.0743	8.182	2.0019	3.3265	13.7077	0	7.764	5.876	28.1645	0	0.156	0.2675	1.3409	0	2.5922	2.1149	8.5242	0	2.1655	0.7622	4.6235	0.2152	1.4425	0.4514	2.6578	0.2731	14.8688	2.7574	23.7942	7.3399	0.1859	0.247	1.195	0	0.5885	0.1333	0.9557	0.3045	23.8257	8.3132	44.861	8.182	0.2625	14.7806	35.15	382.2073	60.6652	143.1299	174.8199	0	216.4088	6	35.3653	22.5105	101.8092	14.7762	168.1667	402.6386
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	17b15186-535b-4b9e-8a77-5b0f74e6c81b	Glioma	Glioma	PathAnnotationObject	Polygon	831.08	124.49	66.25	31.088	0.8614	11.8014	7.5199	0.7865	8.7726	2359.8406	2.6015	15.952	3.7543	12.1977	0	0	0	0	0	0	0.712	191.5349	1.1183	4.5125	0	4.5125	1.0084	271.2706	2.1812	9.7363	0	9.7363	7.0982	1909.4071	2.0117	10.5913	3.2603	7.3311	3.515	945.5358	0.7496	6.5415	1.7439	4.7976	44.4101	11946.3223	6.0092	53.5027	24.1808	29.3219	1.0642	286.2742	0.81	3.2963	0	3.2963	0.6769	182.0894	0.1555	1.3945	0.3852	1.0093	27.8802	7499.7798	4.4763	40.6995	14.4517	26.2478	151.25	44.9433	0.941	16.4396	11.8916	0.6859	4.2081	4.5328	15.952	0	0.3844	1.7746	12.0557	0	0.4435	0.8222	4.5125	0	0.9497	2.6648	19.0778	0	4.8348	2.5697	10.5913	0.1908	2.7502	1.0021	6.5415	0.031	38.0091	12.02	57.6996	11.626	0.8601	0.8438	5.7983	0	0.7813	0.2043	1.6241	0.3852	24.2335	6.8046	43.4732	9.5564	0.5538	1.2274	5.3661	0	0.6921	2.3375	12.0557	0	0.2286	0.3378	1.5645	0	0.9027	2.9988	19.0778	0	3.0228	1.123	6.8075	0.1908	2.1378	0.7178	3.7158	0.031	32.8844	13.1288	57.6996	11.626	0.6966	0.8358	5.7983	0	0.8648	0.2004	1.6241	0.4779	21.314	6.9445	43.4732	9.5564	0.4384	0.01	20.0684	366.9969	45.3301	147.0347	177.7433	15.4343	203.5781	4	17.7883	17.7509	22.9462	12.7052	117.2762	198.2672
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	fafee91a-52e4-4ed4-9be1-25d772e8793d	Glioma	Glioma	PathAnnotationObject	Polygon	1006	123.46	35.25	23.1785	0.8245	8.1229	5.7256	0.7053	12.4549	1781.0563	3.3673	23.3678	6.3916	16.9762	0	0	0	0	0	0	0	0	0	0	0	0	2.3567	337.0032	2.6179	9.8476	0	9.8476	4.568	653.2256	1.2237	7.2285	2.0738	5.1548	3.5584	508.8452	0.5477	5.2451	2.4897	2.7553	43.579	6231.7939	4.4688	50.3779	29.6836	20.6943	0.6072	86.8302	0.4346	1.7012	0	1.7012	0.9328	133.3889	0.1644	1.5359	0.6554	0.8805	25.6126	3662.606	2.6655	32.0641	19.9417	12.1224	78.75	33.1726	0.8993	11.5153	9.3602	0.5049	7.3414	5.8315	23.3678	0	0	0	0	0	0.0032	0.0468	0.8109	0	1.3769	2.1747	9.8476	0	3.9753	1.3643	7.2285	1.1484	3.077	0.7553	5.2451	0.9644	38.9784	7.9771	52.0034	16.5707	0.6811	0.5215	2.4764	0	1.0034	0.1822	1.5359	0.6302	23.2871	4.7139	32.8255	9.9046	3.163	3.6947	12.4914	0	0	0	0	0	0.0058	0.063	0.8109	0	0.5763	1.2608	8.2131	0	3.491	1.2823	6.5881	1.1484	2.6838	0.6698	5.0186	0.9644	35.2191	8.2478	52.0034	16.5707	0.7415	0.5772	2.4764	0	1.061	0.1759	1.5168	0.6302	21.3868	5.1584	32.8255	9.9046	0.4509	0.01	154.8898	197.9084	17.209	117.7519	72.1159	60.0433	72.4259	5	28.2588	8.3649	87.9267	7.2244	51.6803	88.7107
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	c9cc0c75-dc6c-4c5a-a2d4-271db9631767	Glioma	Glioma	PathAnnotationObject	Polygon	793.09	124.28	31.25	20.2288	0.9597	7.1711	5.5	0.5968	7.4	954.6009	2.4194	16.5771	2.4862	14.0909	0	0	0	0	0	0	0.0361	4.6571	0.1172	0.7569	0	0.7569	1.9638	253.3328	1.6519	6.0499	0	6.0499	3.1301	403.7888	0.8607	4.8763	1.4575	3.4188	2.0473	264.1019	0.3217	2.8448	1.3591	1.4857	26.5201	3421.0916	3.6893	32.3819	13.9564	18.4255	0.0607	7.83	0.1239	0.7283	0	0.7283	0.9229	119.0519	0.1329	1.2494	0.5042	0.7451	18.7561	2419.5381	2.3107	23.1698	11.2308	11.939	90.25	34.211	0.969	11.8068	9.5	0.5447	2.9139	3.7027	16.5771	0	0.3811	2.2777	23.4051	0	0.0995	0.2305	1.6235	0	1.4832	2.5335	20.7104	0	2.5508	1.0043	4.8763	0	1.8294	0.4868	3.0045	0.4102	24.8714	7.4842	42.7499	6.7626	0.1018	0.2196	1.8442	0	0.8563	0.2267	1.3572	0.3302	17.4315	5.2944	33.9131	5.2647	0.4513	0.9386	4.3141	0	0.5903	2.8149	23.4051	0	0.1344	0.2673	1.6235	0	1.2194	2.8752	20.7104	0	2.2328	0.9342	4.2184	0	1.7099	0.52	3.0045	0.4102	23.9664	8.7822	42.7499	6.7626	0.1243	0.2549	1.8442	0	0.8198	0.2574	1.3572	0.3302	16.7043	6.2502	33.9131	5.2647	0.3385	0	57.9867	404.3867	80.8525	125.4924	159.8347	24.0825	227.3412	4	29.1071	24.9619	49.3858	17.119	241.5067	267.2578
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	653f837b-5744-44d8-913c-3bc56b089070	PVC	PVC	PathAnnotationObject	Polygon	850.85	126.19	35	23.9128	0.7692	9.8743	5.0095	0.8735	19.8219	2814.7124	7.6771	33.083	4.4595	28.6235	0.0001	0.0153	0.0013	0.0153	0	0.0153	0.815	115.7332	1.1643	3.9765	0	3.9765	3.5541	504.6857	3.3122	10.6392	0	10.6392	5.7161	811.683	1.5475	10.1135	2.8094	7.3041	25.8173	3666.0522	5.8842	39.4133	7.1788	32.2345	26.2378	3725.7737	4.8867	40.9493	13.183	27.7663	5.2316	742.8876	3.3727	13.9158	0	13.9158	0.7538	107.0436	0.2129	1.3329	0.2584	1.0745	30.8506	4380.7827	3.2089	38.0202	21.1136	16.9065	103.25	38.052	0.8961	14.6407	9.4088	0.775	7.8229	10.0069	33.083	0	0.1555	0.7041	5.9798	0	0.9117	0.8968	3.9765	0	2.7609	2.63	10.6392	0	4.1085	1.7749	10.1135	0.8446	13.6086	10.7411	39.4133	0.9963	20.4863	7.2434	40.9493	5.2193	5.9415	5.8362	20.5462	0	0.7192	0.2191	1.3329	0.1498	22.8802	7.4255	38.0202	6.6197	1.5587	2.668	12.5241	0	0.2366	0.858	5.9798	0	0.9621	0.7162	3.3139	0	2.3467	2.0812	8.1091	0	3.2692	1.2224	7.3946	0.8446	7.2349	6.2398	31.7347	0.9963	17.4837	6.415	38.3275	5.2193	6.3121	6.752	20.5462	0	0.7011	0.2205	1.3113	0.1498	18.7192	5.2922	35.2881	6.6197	0.3375	20.0676	0	347.058	28.1641	131.6475	188.4876	34.571	191.6598	5	32.9739	21.475	68.0231	20.0652	261.0466	445.1764
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	c9e84dd1-6b44-4944-b4e0-760c166302c4	Glioma	Glioma	PathAnnotationObject	Polygon	998.32	124.97	14.25	14.0305	0.9097	5.5464	3.2538	0.7793	6.0057	354.3337	1.6823	9.9469	2.814	7.1329	0	0	0	0	0	0	0	0	0	0	0	0	0.0932	5.4986	0.3278	1.9263	0	1.9263	2.2473	132.5898	0.4137	3.0652	1.3337	1.7315	1.9254	113.5965	0.1729	2.4294	1.5333	0.8961	25.3466	1495.4512	1.4635	28.6873	21.2995	7.3879	0.2893	17.0714	0.2087	0.8269	0	0.8269	0.6381	37.6505	0.0986	0.9207	0.4827	0.438	15.1072	891.3229	1.1187	19.6064	13.1941	6.4124	52.25	26.9023	0.9072	10.0012	6.5561	0.7403	2.7015	2.7798	9.9469	0	0.0014	0.0154	0.201	0	0.0047	0.0274	0.2571	0	0.4915	0.8647	4.4384	0	2.2575	0.5713	3.7369	1.1875	2.0701	0.4044	3.4519	1.0631	25.2102	4.4222	37.3327	14.4211	0.3289	0.3092	1.6452	0	0.7874	0.1717	1.2206	0.4827	16.8164	3.1135	26.875	11.4634	1.4273	1.943	6.2352	0	0.002	0.0181	0.201	0	0.0065	0.0321	0.2571	0	0.6451	0.9547	4.4384	0	2.2614	0.6227	3.7369	1.1875	2.1259	0.4521	3.4519	1.0631	25.1576	5.1303	37.3327	14.4211	0.3442	0.3395	1.6452	0	0.8449	0.1589	1.2206	0.5866	17.4756	3.3776	26.875	11.4634	0.2559	0	147.7032	204.4053	18.7345	113.2736	77.102	52.9999	76.309	5	29.6329	22.1787	80.8547	7.2244	205.6949	764.2084
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	8c1226e0-822e-4fed-9e84-c4c8bfc68fb0	Glioma	Glioma	PathAnnotationObject	Polygon	1035.2	127.15	16.25	16.6972	0.7324	6.4682	3.5032	0.8638	6.2264	417.1716	1.9741	11.1654	2.6397	8.5257	0	0	0	0	0	0	0.028	1.8753	0.1185	0.6831	0	0.6831	9.1039	609.9583	2.41	15.5588	4.944	10.6148	2.6694	178.8514	0.4661	3.7928	1.8348	1.958	4.1739	279.6533	0.7747	5.6005	2.6685	2.932	33.6501	2254.5571	4.745	40.6812	23.9215	16.7597	0.3733	25.0134	0.318	1.5275	0	1.5275	0.8647	57.9373	0.13	1.1971	0.6547	0.5424	22.1087	1481.2804	1.8866	28.0767	19.5225	8.5542	68	30.5496	0.9156	10.8466	7.9447	0.6794	3.4027	3.7608	13.2321	0	0.573	1.8017	9.646	0	0.0174	0.099	0.9272	0	6.5654	3.4944	15.5588	0	2.5963	1.1304	6.8399	0.0181	3.347	1.1448	5.6005	1.0833	30.5542	9.7133	48.0523	13.3144	0.396	0.4469	2.5889	0	0.8749	0.2049	1.455	0.522	21.7447	3.2924	30.445	12.9769	2.4887	3.7499	13.2321	0	0.7585	2.0397	9.646	0	0.0139	0.0918	0.9272	0	5.7437	3.3981	13.475	0	2.5727	1.2734	6.8399	0.0181	3.0793	1.1182	5.4467	1.0833	29.5521	10.6628	48.0523	13.3144	0.4033	0.4817	2.5889	0	0.8782	0.224	1.455	0.522	21.6269	3.6287	30.445	12.9769	0.2291	0.01	184.1542	169.5694	28.4142	134.0188	51.502	33.0671	57.0498	6	29.6483	29.0727	33.8849	24.3817	234.8013	345.0327
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	3a791036-43ca-4e3b-8428-0e35d38f0c5c	Glioma	Glioma	PathAnnotationObject	Polygon	1011.8	131.22	25.25	19.436	0.84	7.7285	4.7395	0.7963	8.5728	882.9948	2.8886	17.8025	2.9019	14.9006	0	0	0	0	0	0	0	0	0	0	0	0	4.2137	434.011	1.7254	9.3894	1.0565	8.3329	3.2209	331.7503	0.5163	4.8461	2.2308	2.6153	3.0817	317.4118	0.3801	4.0287	2.4087	1.62	33.0989	3409.1838	4.831	49.1912	23.9597	25.2315	0.8969	92.3795	0.4757	2.1839	0.077	2.1069	0.97	99.9054	0.1367	1.3934	0.7262	0.6672	26.3593	2715.0044	3.5878	37.3975	19.7672	17.6303	65.25	29.9739	0.9127	11.4342	7.5	0.7488	4.2882	4.3069	17.8025	0	0.095	0.5013	4.7353	0	0.0105	0.0824	1.1265	0	2.8439	2.2047	9.3894	0	3.1136	0.8534	5.138	1.309	2.7632	0.6528	4.1411	1.0641	31.1894	8.1333	49.1912	12.5399	0.8724	0.437	2.282	0.0435	1.071	0.2144	1.5792	0.5492	24.3656	6.2958	38.9319	9.0835	1.5807	2.458	8.7516	0	0.1551	0.6338	4.7353	0	0.0171	0.1048	1.1265	0	1.9783	2.0322	6.8288	0	3.0457	1.0057	5.138	1.309	2.562	0.7077	4.1411	1.0641	29.9828	9.4727	48.1996	12.5399	0.857	0.4114	2.282	0.0435	1.1349	0.2299	1.5792	0.5492	23.1058	7.2532	38.9319	9.0835	0.3703	0	160.1135	190.84	10.9595	115.392	63.881	55.5763	64.0607	5	12.9066	10.9577	24.3817	7.2372	68.9974	165.5453
Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1	1b64374f-2ec0-4dcf-8b02-55b76db41cfc	Glioma	Glioma	PathAnnotationObject	Polygon	821.79	132.79	42	24.8038	0.8579	8.2802	6.7607	0.5913	6.7832	1180.2841	1.787	10.8642	2.4424	8.4218	0	0	0	0	0	0	0.0403	7.0052	0.1249	0.908	0	0.908	0.2399	41.7493	0.8969	5.0343	0	5.0343	2.6356	458.5984	0.654	4.2648	1.2276	3.0373	1.7198	299.2403	0.3605	3.1866	0.9333	2.2533	28.4271	4946.312	3.944	35.1112	17.3234	17.7879	0.1295	22.5315	0.1963	1.0832	0	1.0832	0.5551	96.5859	0.1196	0.8504	0.3734	0.477	17.8557	3106.8865	3.8686	29.7044	11.6894	18.0151	110	38.1655	0.949	12.7932	11.2791	0.4399	3.0127	3.3309	10.8642	0	0.0662	0.2719	1.9946	0	0.083	0.1541	0.908	0	0.2105	0.6765	5.0343	0	2.0369	0.8356	4.2648	0.2771	1.4495	0.5076	3.1866	0.1924	21.8939	7.7961	35.1112	3.2017	0.2028	0.298	1.8051	0	0.5826	0.1558	1.1398	0.1713	15.0857	5.2298	30.8153	3.49	0.5556	0.9568	3.898	0	0.1094	0.3428	1.9946	0	0.1108	0.1648	0.806	0	0.1913	0.4826	3.1693	0	1.6466	0.6996	3.7509	0.2771	1.2733	0.5126	2.7324	0.1924	17.6362	6.6561	33.4631	3.2017	0.2506	0.3406	1.8051	0	0.6005	0.1733	1.1398	0.1713	13.2806	5.2171	30.8153	3.49	0.383	0	30.2859	374.8644	51.0885	135.7866	165.4522	14.7806	202.3251	5	16.6323	14.7762	23.0458	10.3796	112.6751	156.474
