Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 480 mean	Nucleus: Opal 480 sum	Nucleus: Opal 480 std dev	Nucleus: Opal 480 max	Nucleus: Opal 480 min	Nucleus: Opal 480 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Opal 540 mean	Nucleus: Opal 540 sum	Nucleus: Opal 540 std dev	Nucleus: Opal 540 max	Nucleus: Opal 540 min	Nucleus: Opal 540 range	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Opal 620 mean	Nucleus: Opal 620 sum	Nucleus: Opal 620 std dev	Nucleus: Opal 620 max	Nucleus: Opal 620 min	Nucleus: Opal 620 range	Nucleus: Opal 650 mean	Nucleus: Opal 650 sum	Nucleus: Opal 650 std dev	Nucleus: Opal 650 max	Nucleus: Opal 650 min	Nucleus: Opal 650 range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 780 mean	Nucleus: Opal 780 sum	Nucleus: Opal 780 std dev	Nucleus: Opal 780 max	Nucleus: Opal 780 min	Nucleus: Opal 780 range	Nucleus: Autoflourescence mean	Nucleus: Autoflourescence sum	Nucleus: Autoflourescence std dev	Nucleus: Autoflourescence max	Nucleus: Autoflourescence min	Nucleus: Autoflourescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 480 mean	Cell: Opal 480 std dev	Cell: Opal 480 max	Cell: Opal 480 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Opal 540 mean	Cell: Opal 540 std dev	Cell: Opal 540 max	Cell: Opal 540 min	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Opal 620 mean	Cell: Opal 620 std dev	Cell: Opal 620 max	Cell: Opal 620 min	Cell: Opal 650 mean	Cell: Opal 650 std dev	Cell: Opal 650 max	Cell: Opal 650 min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 780 mean	Cell: Opal 780 std dev	Cell: Opal 780 max	Cell: Opal 780 min	Cell: Autoflourescence mean	Cell: Autoflourescence std dev	Cell: Autoflourescence max	Cell: Autoflourescence min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 480 mean	Cytoplasm: Opal 480 std dev	Cytoplasm: Opal 480 max	Cytoplasm: Opal 480 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Opal 540 mean	Cytoplasm: Opal 540 std dev	Cytoplasm: Opal 540 max	Cytoplasm: Opal 540 min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Opal 620 mean	Cytoplasm: Opal 620 std dev	Cytoplasm: Opal 620 max	Cytoplasm: Opal 620 min	Cytoplasm: Opal 650 mean	Cytoplasm: Opal 650 std dev	Cytoplasm: Opal 650 max	Cytoplasm: Opal 650 min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 780 mean	Cytoplasm: Opal 780 std dev	Cytoplasm: Opal 780 max	Cytoplasm: Opal 780 min	Cytoplasm: Autoflourescence mean	Cytoplasm: Autoflourescence std dev	Cytoplasm: Autoflourescence max	Cytoplasm: Autoflourescence min	Nucleus/Cell area ratio	Distance to detection with Glioma µm	Distance to detection with PVC µm	Distance to detection with Endothelial µm	Distance to detection with Astrocyte µm	Distance to detection with Negative µm	Distance to detection with TAMM µm	Distance to detection with Oligodendrocyte µm	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	856f589d-5ee0-4781-9a49-b9969dcd35e7	TAMM	TAMM	PathAnnotationObject	Polygon	936.9	407.6	15.75	15.8291	0.7899	6.081	3	0.8533	7.7911	529.7936	2.1095	11.0465	2.7749	8.2716	14.1483	962.082	3.5278	21.5902	5.5112	16.079	0	0	0	0	0	0	13.6387	927.4313	2.2153	18.1242	8.5794	9.5448	0.5498	37.3863	0.8819	3.3653	0	3.3653	4.5361	308.4563	1.8753	10.4335	2.5178	7.9157	9.7887	665.6307	1.0193	11.9483	6.9431	5.0052	1.4877	101.1621	0.5306	2.8113	0.3613	2.45	0.3946	26.8358	0.085	0.5398	0.2205	0.3193	39.7152	2700.6326	5.8125	47.1982	21.3751	25.8231	59.25	28.7493	0.9008	10.0233	7	0.6202	3.0877	3.8575	11.0465	0	6.5835	6.2739	21.5902	0	0.8341	1.9499	9.564	0	11.7467	4.4237	24.5422	1.3154	0.8578	0.8799	3.3717	0	5.8914	3.8862	17.0227	1.5191	9.7683	2.948	17.8763	5.1861	1.5092	0.5966	2.9446	0.2258	0.4835	0.2715	1.4588	0.2006	29.9668	9.6358	47.1982	14.4666	1.2174	2.5906	10.2362	0	3.5753	4.2673	21.1878	0	1.1658	2.2213	9.564	0	10.9943	4.8437	24.5422	1.3154	0.9803	0.8511	3.3717	0	6.4303	4.3279	17.0227	1.5191	9.7601	3.4289	17.8763	5.1861	1.5177	0.6221	2.9446	0.2258	0.5188	0.3097	1.4588	0.2006	26.0902	7.9715	44.9846	14.4666	0.262	17.6707	13.9477	23.9864	44.0373	78.072	0	27.6537	7	43.8223	38.8718	100.5469	13.9505	170.9833	248.8484
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	f6c6a120-fb10-4871-8ec3-ebfbb5a8e01f	Glioma	Glioma	PathAnnotationObject	Polygon	836.36	408.9	9.75	11.2533	0.9675	4.1072	2.9352	0.715	2.003	84.1258	1.0253	3.9392	0.0836	3.8556	0.9514	39.9576	2.0992	7.3159	0	7.3159	0.0357	1.498	0.1031	0.5629	0	0.5629	0.941	39.52	1.2386	4.4403	0	4.4403	2.7021	113.4899	0.7174	4.4749	1.4181	3.0568	1.7893	75.1508	0.5653	3.1508	0.7726	2.3782	20.687	868.8528	3.5215	29.1783	15.6891	13.4892	0.3439	14.4439	0.5436	2.3364	0	2.3364	1.0248	43.0416	0.2188	1.6926	0.7571	0.9354	22.0498	926.0934	3.106	30.6772	15.9437	14.7335	48.5	25.0901	0.9682	8.7164	7	0.5224	0.4373	0.9432	3.9392	0	1.1918	2.0627	7.8482	0	0.0716	0.1813	1.3428	0	3.0411	3.9861	15.4006	0	1.9751	0.9056	4.4749	0.0714	1.4914	0.773	3.1508	0.0387	14.6365	5.6595	29.3031	3.0051	0.2541	0.3843	2.3364	0	0.844	0.2677	1.6926	0.2502	17.6548	7.07	33.3613	3.5775	0.0157	0.0969	0.8954	0	1.2565	2.0548	7.8482	0	0.0812	0.1963	1.3428	0	3.6065	4.2746	15.4006	0	1.7793	0.8511	3.9276	0.0714	1.4112	0.8027	3.0847	0.0387	13.0075	4.9838	29.3031	3.0051	0.23	0.3267	1.4482	0	0.7953	0.2592	1.6249	0.2502	16.4715	7.3712	33.3613	3.5775	0.1907	0.01	102.7318	62.6917	137.7005	27.8184	61.0989	89.5707	6	42.0931	32.7413	100.5469	11.3435	119.7105	248.8484
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	31f5452c-693c-4a6c-a11a-21d0b1944b69	Glioma	Glioma	PathAnnotationObject	Polygon	898.1	412.59	58	28.08	0.9244	9.5743	7.8671	0.5927	10.226	2433.7869	2.9484	21.0773	4.0401	17.0372	0	0	0	0	0	0	0	0.0083	0.0005	0.0071	0	0.0071	0	0	0	0	0	0	1.2052	286.845	0.3707	2.8032	0.6393	2.1639	1.5653	372.5367	0.3037	2.5094	0.8994	1.61	28.6228	6812.2168	3.5682	35.5405	16.2213	19.3193	0.7222	171.89	0.6265	2.8147	0	2.8147	0.5284	125.7682	0.2062	1.096	0.174	0.922	11.9702	2848.9041	1.0473	14.6121	9.4829	5.1292	126	41.0786	0.9383	14.0961	11.1893	0.5978	5.2922	5.2129	21.0773	0	0	0	0	0	0.1208	0.2594	2.0948	0	0.4878	1.5666	9.577	0	1.6604	0.687	4.2903	0.5993	1.5376	0.4454	3.296	0.1093	24.1069	7.1869	37.8062	6.0763	0.5726	0.5995	2.8147	0	0.6508	0.2387	1.4701	0.174	11.931	1.8959	18.711	5.8779	0.9107	1.6472	8.4585	0	0	0	0	0	0.2281	0.3205	2.0948	0	0.921	2.0595	9.577	0	2.0646	0.6497	4.2903	0.5993	1.5129	0.5404	3.296	0.1093	20.0965	7.216	37.8062	6.0763	0.4398	0.5419	2.6303	0	0.7595	0.2117	1.4701	0.34	11.8962	2.4129	18.711	5.8779	0.4715	0.01	40.7933	45.4202	82.0818	66.4324	24.8132	30.7841	9	27.7408	20.1923	62.1889	8.6652	105.614	248.8484
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	21e67c93-994a-4cdd-9796-bbec3f0fcb3f	Glioma	Glioma	PathAnnotationObject	Polygon	853.64	414.93	58	30.998	0.7585	10.4808	7.5495	0.7273	13.073	3085.2205	3.9819	27.4939	4.3727	23.1212	0	0	0	0	0	0	0.0096	2.2624	0.0501	0.422	0	0.422	0.0419	9.8816	0.23	2.3217	0	2.3217	2.336	551.3077	0.5836	4.4085	1.2419	3.1666	2.0633	486.9482	0.3448	3.0866	1.2467	1.8399	30.7793	7263.9204	6.7138	40.7848	13.1539	27.6309	0.1694	39.9776	0.3122	1.6845	0	1.6845	0.7728	182.3793	0.187	1.3374	0.4814	0.856	16.7121	3944.0518	2.2045	22.5681	11.9943	10.5738	137	43.2596	0.92	14.856	11.4851	0.6476	6.2511	6.666	27.4939	0	0.0277	0.204	2.3667	0	0.1007	0.2266	2.023	0	0.3726	0.7749	4.5798	0	2.3202	0.8973	5.9411	0.8649	1.8253	0.4897	3.2678	0.5701	23.8731	9.8849	40.9459	7.2162	0.1743	0.3179	2.0285	0	0.8192	0.1908	1.342	0.4705	15.5394	3.7892	23.8156	7.6312	1.1074	2.0884	9.891	0	0.0486	0.2685	2.3667	0	0.1693	0.278	2.023	0	0.6219	0.9326	4.5798	0	2.3082	1.0757	5.9411	0.8649	1.6457	0.5064	3.2678	0.5701	18.6659	8.6251	40.9459	7.2162	0.178	0.3226	2.0285	0	0.8543	0.1864	1.342	0.4705	14.6552	4.4422	23.8156	7.6312	0.4165	0	84.9749	64.2597	126.9115	38.0278	44.5537	71.3495	6	24.3429	23.1509	44.879	10.293	139.3887	193.1932
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	d422b9cd-c8f3-443c-9da9-c1a1ade580be	Astrocyte	Astrocyte	PathAnnotationObject	Polygon	990.93	410.63	9.5	13.5805	0.6473	5.8983	2.1094	0.9356	8.9704	367.7865	2.2006	11.8782	4.9736	6.9045	0.0003	0.0107	0.0017	0.0107	0	0.0107	0	0	0	0	0	0	2.1036	86.2481	1.1961	4.9515	0.0835	4.868	2.1161	86.7583	0.2194	2.5283	1.6939	0.8345	2.2254	91.24	0.3596	3.1549	1.5574	1.5975	16.2801	667.4844	0.9971	18.0372	14.0349	4.0023	0.5155	21.1356	0.3254	1.3475	0.0193	1.3282	0.9671	39.6496	0.1463	1.1977	0.6537	0.544	18.1167	742.7834	1.7613	21.3541	15.5488	5.8053	55	28.1146	0.8744	10.6666	6.4568	0.8052	5.0958	5.372	21.3985	0	0.0097	0.0615	0.4657	0	0.0082	0.0486	0.4087	0	2.7249	1.2036	6.6456	0.0835	1.873	0.4044	2.8463	0.8935	2.4032	0.4194	3.3459	1.5574	15.8543	1.6362	20.0095	11.2522	0.4857	0.3372	1.6483	0.0024	0.9448	0.1377	1.3278	0.6537	16.8615	2.5545	24.5045	12.1763	4.2181	5.492	21.3985	0	0.0119	0.068	0.4657	0	0.01	0.0537	0.4087	0	2.8657	1.1631	6.6456	0.1772	1.8179	0.4166	2.8463	0.8935	2.4434	0.4224	3.3459	1.695	15.7578	1.7364	20.0095	11.2522	0.479	0.3404	1.6483	0.0024	0.9398	0.1356	1.3278	0.6852	16.5771	2.6234	24.5045	12.1763	0.1676	11.2358	53.648	23.5074	0	75.9681	49.8592	15.4199	4	22.9267	13.3211	54.2428	10.8217	75.8898	87.7861
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	fed464c4-94c9-4586-a2d3-e42279a239c6	Astrocyte	Astrocyte	PathAnnotationObject	Polygon	980.53	413.32	29.75	20.5004	0.8896	7.5635	4.6957	0.756	12.9519	1567.1805	4.6166	25.0268	4.5592	20.4676	0.0269	3.2531	0.1136	0.701	0	0.701	0	0	0	0	0	0	1.2223	147.8953	1.048	5.3356	0	5.3356	1.9848	240.1662	0.3228	3.0153	1.2579	1.7575	2.2985	278.1162	0.2981	3.1437	1.6351	1.5085	16.7047	2021.2723	1.9704	21.3571	11.1967	10.1603	0.8465	102.4317	0.4768	2.2161	0.0043	2.2118	1.0299	124.6229	0.1121	1.2597	0.8305	0.4292	19.2925	2334.3923	3.2903	28.8976	12.0576	16.8399	89	34.1244	0.9604	11.8651	9.1416	0.6182	5.0264	6.4297	25.0268	0	0.0412	0.1844	1.8144	0	0.0214	0.0875	0.8958	0	2.1962	1.7721	7.0683	0	1.8137	0.4275	3.0916	0.8079	2.6412	0.7495	6.271	1.2657	15.5061	2.5704	22.502	8.7383	0.722	0.4463	2.2161	0	1.0162	0.1382	1.3516	0.6552	17.0762	3.7131	29.9905	10.9321	0.9801	1.7474	8.361	0	0.0485	0.2115	1.8144	0	0.0324	0.1059	0.8958	0	2.6934	1.8594	7.0683	0	1.7263	0.4481	3.0916	0.8079	2.8161	0.8448	6.271	1.2657	14.8941	2.6282	22.502	8.7383	0.6584	0.4168	1.9594	0	1.0091	0.1495	1.3516	0.6552	15.9447	3.398	29.9905	10.9321	0.3289	15.3376	42.8467	13.5835	0	75.0904	44.0373	25.5988	4	20.9447	14.4607	44.0356	10.8217	122.2325	238.4306
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	214f7ddc-910e-4f3f-b1f1-1ec211f1ee07	Glioma	Glioma	PathAnnotationObject	Polygon	824.42	413.79	16.5	16.0326	0.8066	6.4311	3.6459	0.8088	2.4007	170.4505	0.9813	4.3755	0.3516	4.0239	0.0205	1.459	0.0757	0.4936	0	0.4936	0.0316	2.2428	0.102	0.6093	0	0.6093	0.0533	3.7808	0.1414	0.6772	0	0.6772	1.3483	95.7273	0.5036	2.1785	0.4889	1.6896	0.6123	43.4746	0.2948	1.247	0.1571	1.0898	11.1107	788.8587	5.0102	22.6131	3.6701	18.9431	0.5329	37.8333	0.555	2.5162	0	2.5162	0.5157	36.613	0.1036	0.6983	0.3377	0.3606	8.7541	621.5391	2.17	12.5028	4.1097	8.393	68	30.4152	0.9237	11.4325	8.1895	0.6993	0.7136	1.1333	4.3755	0	0.3574	0.5657	4.5522	0	0.0485	0.1112	0.6321	0	0.1965	0.7445	6.7852	0	0.9669	0.6097	2.2929	0.087	0.5537	0.4391	2.1062	0	8.6541	6.5394	28.7098	0.4755	0.4963	0.587	3.1584	0	0.4002	0.1817	0.7252	0.0897	6.9721	3.8317	18.585	1.2796	0.1207	0.2098	1.0881	0	0.4758	0.6139	4.5522	0	0.0545	0.114	0.6321	0	0.2469	0.8563	6.7852	0	0.8329	0.5876	2.2929	0.087	0.5331	0.4786	2.1062	0	7.7906	6.8005	28.7098	0.4755	0.4834	0.5987	3.1584	0	0.3596	0.1859	0.7252	0.0897	6.3457	4.0881	18.585	1.2796	0.2462	0.01	107.9958	55.4973	129.9136	17.5444	67.8962	100.2909	5	20.6328	18.3532	34.617	12.9965	134.9575	279.8605
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	8d0e0a5f-6cfc-40ff-9403-49c364344c78	Glioma	Glioma	PathAnnotationObject	Polygon	921.82	415.29	46.25	25.774	0.8749	9.1365	7.4794	0.4453	6.3637	1209.1085	1.57	9.1508	2.8146	6.3361	0	0	0	0	0	0	0.0402	7.6418	0.1321	1.0099	0	1.0099	0.0094	1.7899	0.0929	1.0487	0	1.0487	2.1021	399.4032	0.632	4.3416	1.0638	3.2778	1.8073	343.3891	0.4657	3.5786	0.9545	2.6241	28.0912	5337.3213	3.497	35.0694	19.8084	15.261	0.605	114.9561	0.4787	1.92	0	1.92	0.6739	128.0407	0.2839	1.3404	0.2497	1.0907	13.4111	2548.1001	1.8196	17.5637	9.4745	8.0892	102.75	37.9631	0.8959	13.0967	10.2138	0.5404	3.1281	3.2555	9.1508	0	0	0	0	0	0.2148	0.3237	1.7371	0	0.9611	1.9269	9.3723	0	2.3567	0.7418	4.4958	1.0638	2.0307	0.6593	4.0524	0.6394	24.3245	6.8534	35.0694	10.3511	0.4003	0.4545	1.92	0	0.7935	0.2609	1.3404	0.2497	13.5345	2.1007	19.0545	8.1134	0.3712	0.9879	6.6343	0	0	0	0	0	0.3635	0.3624	1.7371	0	1.7719	2.3341	9.3723	0	2.5736	0.7605	4.4958	1.2158	2.2211	0.7369	4.0524	0.6394	21.1153	7.3667	34.6352	10.3511	0.2258	0.349	1.6574	0	0.8954	0.1871	1.3109	0.4605	13.6397	2.3123	19.0545	8.1134	0.4594	0.01	18.1294	24.5319	59.3524	68.2822	17.2256	16.0056	5	16.2922	17.6688	22.8979	6.762	87.2348	130.9445
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	3f17eed0-87f4-430c-9019-6f7b5a96ad6c	Oligodendrocyte	Oligodendrocyte	PathAnnotationObject	Polygon	1005.8	413.78	23.5	21.0801	0.6646	8.1944	4.2493	0.866	4.0441	392.276	1.1807	7.5478	2.0599	5.4879	0	0	0	0	0	0	0.0095	0.921	0.0384	0.2774	0	0.2774	10.1989	989.2885	1.882	15.5116	6.0183	9.4933	8.007	776.6758	2.4439	12.693	2.9197	9.7733	3.8979	378.0926	0.4355	5.0597	2.5631	2.4966	15.2065	1475.027	3.8024	25.2345	9.5151	15.7194	0.5991	58.1093	0.507	2.1247	0	2.1247	0.7928	76.904	0.1555	1.1325	0.4712	0.6613	15.733	1526.1039	2.0557	23.7657	11.5274	12.2383	83	35.2167	0.841	12.7032	8.6917	0.7282	2.2422	2.2053	7.9417	0	0.0454	0.419	5.1183	0	0.0569	0.1331	0.746	0	8.2103	3.3676	16.0221	0	5.549	3.6687	13.6597	0.6832	3.3747	0.8126	5.0597	1.0912	15.1574	4.2588	26.3625	8.0706	0.5109	0.437	2.1247	0	0.7881	0.1762	1.1762	0.4234	15.2334	2.8716	24.084	9.6781	1.5016	2.1001	7.9417	0	0.064	0.4968	5.1183	0	0.0764	0.152	0.746	0	7.3929	3.5032	16.0221	0	4.5387	3.6133	13.6597	0.6832	3.1597	0.8342	5.0415	1.0912	15.1372	4.4403	26.3625	8.0706	0.4747	0.4003	1.5971	0	0.7861	0.1843	1.1762	0.4234	15.028	3.1269	24.084	9.6781	0.2771	10.9853	68.099	36.3223	15.4199	70.9812	41.3479	0	6	56.2445	33.7978	158.6395	10.99	161.6961	311.0677
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	41026df7-0e66-4bf1-a535-9c761e2e3e7e	Glioma	Glioma	PathAnnotationObject	Polygon	789.85	416.59	24.75	18.3284	0.9258	6.3888	5.2237	0.5253	14.7922	1508.8041	4.3574	23.7523	5.6321	18.1202	0.3028	30.8906	1.278	8.363	0	8.363	0.0033	0.332	0.0165	0.1182	0	0.1182	0.1903	19.4057	0.4975	2.7052	0	2.7052	3.029	308.9544	0.6784	4.5352	1.7317	2.8035	2.121	216.347	0.2424	2.8349	1.58	1.255	31.5368	3216.7546	2.2698	37.3017	26.773	10.5287	0.1039	10.595	0.1849	1.0766	0	1.0766	1.0169	103.7216	0.2984	1.6641	0.6087	1.0554	26.2375	2676.2202	3.4315	35.3662	19.9986	15.3676	80.25	32.2753	0.9681	10.918	9.5	0.4007	5.3163	7.0977	23.7523	0	0.9212	2.6453	14.9743	0	0.1354	0.2498	1.4288	0	0.7056	1.2711	6.4017	0	2.6964	0.7797	4.6487	0.6145	2.0281	0.5451	3.5823	0.4708	24.2487	6.7701	37.3017	6.5685	0.1444	0.2471	1.8873	0	1.0503	0.2576	1.6641	0.5215	22.5139	6.0207	37.3978	7.6735	0.9029	1.8898	8.9291	0	1.2093	3.0418	14.9743	0	0.1969	0.282	1.4288	0	0.9456	1.4405	6.4017	0	2.5415	0.7767	4.6487	0.6145	1.9849	0.6348	3.5823	0.4708	20.8542	5.3353	31.2359	6.5685	0.1633	0.2695	1.8873	0	1.0658	0.2353	1.6466	0.5215	20.7796	6.1843	37.3978	7.6735	0.3178	0	85.4874	59.8793	108.0825	32.1725	98.0605	134.0827	6	39.5317	33.3918	73.3066	22.0317	202.3841	298.3055
