Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 480 mean,Nucleus: Opal 480 sum,Nucleus: Opal 480 std dev,Nucleus: Opal 480 max,Nucleus: Opal 480 min,Nucleus: Opal 480 range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 540 mean,Nucleus: Opal 540 sum,Nucleus: Opal 540 std dev,Nucleus: Opal 540 max,Nucleus: Opal 540 min,Nucleus: Opal 540 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 650 mean,Nucleus: Opal 650 sum,Nucleus: Opal 650 std dev,Nucleus: Opal 650 max,Nucleus: Opal 650 min,Nucleus: Opal 650 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Opal 780 mean,Nucleus: Opal 780 sum,Nucleus: Opal 780 std dev,Nucleus: Opal 780 max,Nucleus: Opal 780 min,Nucleus: Opal 780 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 480 mean,Cell: Opal 480 std dev,Cell: Opal 480 max,Cell: Opal 480 min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 540 mean,Cell: Opal 540 std dev,Cell: Opal 540 max,Cell: Opal 540 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 650 mean,Cell: Opal 650 std dev,Cell: Opal 650 max,Cell: Opal 650 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Opal 780 mean,Cell: Opal 780 std dev,Cell: Opal 780 max,Cell: Opal 780 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 480 mean,Cytoplasm: Opal 480 std dev,Cytoplasm: Opal 480 max,Cytoplasm: Opal 480 min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 540 mean,Cytoplasm: Opal 540 std dev,Cytoplasm: Opal 540 max,Cytoplasm: Opal 540 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 650 mean,Cytoplasm: Opal 650 std dev,Cytoplasm: Opal 650 max,Cytoplasm: Opal 650 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Opal 780 mean,Cytoplasm: Opal 780 std dev,Cytoplasm: Opal 780 max,Cytoplasm: Opal 780 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,PathAnnotationObject,Polygon,961.07,90.6,16,15.8744,0.7979,6.2884,3.2971,0.8507,1.8025,122.5708,0.9319,4.7795,0.453,4.3265,0,0,0,0,0,0,0.0374,2.5444,0.0933,0.5728,0,0.5728,3.5428,240.9079,1.0064,6.464,1.2496,5.2143,1.5497,105.3765,0.2827,2.6376,1.0081,1.6295,2.5085,170.5759,0.264,3.0236,1.8066,1.2169,18.5359,1260.4397,2.1836,22.6255,14.2776,8.3479,0.5626,38.2543,0.3128,1.3314,0.01,1.3214,0.9202,62.5709,0.0957,1.2282,0.7831,0.4451,14.6462,995.943,1.6838,17.3442,11.446,5.8982,66,29.4732,0.9548,10.5914,7.5,0.6912,0.6014,0.9203,4.7795,0,0.0033,0.0543,0.8878,0,0.0615,0.1051,0.5728,0,2.6913,1.3951,6.464,0,1.5241,0.3312,2.6708,0.572,2.5055,0.4356,3.7684,1.4513,17.7798,2.2892,22.6317,12.6552,0.4218,0.2907,1.4029,0,0.8977,0.1026,1.232,0.5817,14.1803,1.7166,17.911,9.8471,0.1909,0.4233,2.4916,0,0.0045,0.0629,0.8878,0,0.0697,0.1078,0.5285,0,2.4003,1.3921,6.0829,0,1.5153,0.3465,2.6708,0.572,2.5045,0.481,3.7684,1.4513,17.5214,2.2723,22.6317,12.6552,0.3737,0.2669,1.4029,0,0.89,0.104,1.232,0.5817,14.0212,1.7027,17.911,9.8471,0.2446
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,990,90.62,12.75,14.0163,0.8155,5.4301,3.2554,0.8217,2.2548,126.2701,1.3674,5.4081,0,5.4081,0,0,0,0,0,0,0.0165,0.9229,0.0766,0.4976,0,0.4976,0.7609,42.6084,1.393,5.2648,0,5.2648,16.9454,948.94,3.2019,23.5425,10.1617,13.3808,6.5562,367.1453,1.3496,9.4068,4.2279,5.179,12.8363,718.8339,1.297,15.2849,10.8416,4.4432,0.1808,10.1239,0.2389,0.9583,0,0.9583,0.5685,31.8335,0.1825,1.0197,0.3805,0.6392,14.0514,786.8779,2.2238,19.8217,10.8571,8.9645,55.75,27.6608,0.9156,9.83,7.7135,0.6023,1.1047,1.4475,5.4081,0,0,0,0,0,0.1014,0.2065,1.0597,0,2.7191,2.7189,10.6137,0,12.1939,6.5069,23.7488,2.4654,5.5449,1.944,9.4068,1.6026,14.5387,2.3177,20.989,10.8416,0.2447,0.258,1.2944,0,0.692,0.1947,1.1244,0.3805,14.396,1.9403,19.8217,10.8571,0.7236,1.2628,4.1132,0,0,0,0,0,0.1295,0.2274,1.0597,0,3.3679,2.7422,10.6137,0,10.6195,6.5634,23.7488,2.4654,5.2098,1.9972,9.2907,1.6026,15.1028,2.3077,20.989,11.1347,0.2659,0.2612,1.2944,0,0.7329,0.1814,1.1244,0.3819,14.5101,1.8297,19.6196,10.9545,0.2348
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,981.18,90.84,10.5,16.9727,0.458,6.4218,3.0452,0.92,1.174,55.1781,0.5956,2.5937,0,2.5937,0,0,0,0,0,0,0.013,0.613,0.0454,0.2265,0,0.2265,5.0816,238.8336,2.1803,10.1787,0,10.1787,14.2634,670.3809,2.2624,18.4439,9.7254,8.7185,5.0698,238.2787,0.8788,6.3482,2.6347,3.7135,13.7563,646.5455,1.3522,17.3054,10.7504,6.555,0.2707,12.725,0.1526,0.612,0,0.612,0.7469,35.1059,0.1668,1.0397,0.4328,0.6069,15.9131,747.9158,1.1188,18.29,13.8237,4.4663,47.75,27.9861,0.7661,10.1872,6.4495,0.7864,0.3654,0.6112,2.5937,0,0.2429,0.935,6.4145,0,0.0664,0.1279,0.6211,0,5.6745,2.8283,12.9525,0,9.4137,5.8494,18.7687,1.1485,4.2176,1.4959,7.4787,1.9188,14.5108,1.769,17.9572,10.6827,0.2904,0.2159,0.9597,0,0.7573,0.175,1.0735,0.3429,15.7001,2.48,27.4205,9.7018,0.1086,0.3263,2.0886,0,0.32,1.0625,6.4145,0,0.0834,0.1405,0.6211,0,5.8628,2.9869,12.9525,0,7.8736,5.8005,18.7687,1.1485,3.9469,1.5511,7.4787,1.9188,14.7504,1.8215,17.9572,10.6827,0.2967,0.2326,0.9597,0,0.7607,0.178,1.0735,0.3429,15.6325,2.7759,27.4205,9.7018,0.2124
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-oligodendrocyte: PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-oligodendrocyte: PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1023.7,93.61,28.75,22.0683,0.7418,8.7859,4.2344,0.8836,3.1269,378.3547,1.0484,5.1493,0.8775,4.2718,0,0,0,0,0,0,0.9327,112.8595,0.7847,2.8578,0,2.8578,0.6246,75.5736,1.0289,4.2566,0,4.2566,1.9437,235.1905,0.5158,3.4519,0.5841,2.8678,12.4547,1507.0132,2.7686,20.6311,4.5753,16.0558,9.0292,1092.5323,3.1828,16.3543,2.8032,13.5511,7.5996,919.5565,4.9386,16.8739,0.9332,15.9407,0.5075,61.4117,0.136,0.9495,0.3062,0.6433,15.5426,1880.6573,1.8888,18.7511,10.2459,8.5052,93.5,35.8608,0.9137,13.4464,8.4853,0.7655,1.1909,1.5021,5.1493,0,0.0181,0.1109,1.1523,0,0.663,0.6925,2.8578,0,0.7422,0.9372,4.2566,0,1.5045,0.614,3.4519,0.2111,7.1022,5.1559,21.9265,0.5288,8.0085,4.6717,16.718,0.9396,7.7819,5.7982,17.211,0.0738,0.6081,0.1746,1.0586,0.1989,13.436,2.7318,19.9683,6.963,0.2723,0.4234,2.3637,0,0.0267,0.1339,1.1523,0,0.5351,0.605,2.4393,0,0.7981,0.8871,4.165,0,1.2961,0.5435,3.1416,0.2111,4.5625,3.9374,21.9265,0.5288,7.5241,5.1675,16.718,0.9396,7.8684,6.1715,17.211,0.0738,0.6558,0.1708,1.0586,0.1989,12.4363,2.493,19.9683,6.963,0.315
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,860.8,91.94,18.25,18.9132,0.6411,7.1862,4.1175,0.8113,3.1056,236.0261,1.1334,5.3297,0.4408,4.8889,0.0049,0.3691,0.0401,0.3496,0,0.3496,0.2148,16.3262,0.3371,1.6317,0,1.6317,6.1554,467.8114,3.7677,15.0828,0,15.0828,16.3661,1243.8218,3.5114,24.3082,6.7428,17.5654,5.0931,387.0732,0.7262,6.3926,2.8383,3.5543,17.2797,1313.2573,2.8057,24.1182,13.1199,10.9983,0.0701,5.3305,0.0962,0.385,0,0.385,0.8223,62.4937,0.2116,1.3578,0.6167,0.7411,19.1101,1452.3674,3.3169,30.2946,15.1422,15.1525,65.75,31.481,0.8337,11.686,7.4722,0.8,2.019,1.9997,6.5942,0,0.2041,0.7067,4.9828,0,0.2711,0.3597,2.3012,0,6.0571,3.3096,15.4772,0,11.2863,7.1857,25.1442,1.839,3.8016,1.6385,7.1982,0.9064,16.2907,3.0679,24.1182,7.3867,0.178,0.2402,1.6952,0,0.8806,0.1734,1.3578,0.5437,18.4048,4.2368,31.2631,9.9551,1.575,2.1066,6.5942,0,0.2855,0.8252,4.9828,0,0.2941,0.367,2.3012,0,6.0169,3.1133,15.4772,0,9.2107,7.2742,25.1442,1.839,3.2738,1.6151,7.1982,0.9064,15.8866,3.0856,23.6399,7.3867,0.222,0.2663,1.6952,0,0.9044,0.1494,1.3425,0.5437,18.1167,4.5361,31.2631,9.9551,0.274
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",TAMM: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,TAMM: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1116.6,93.26,13,13.6917,0.8714,5.3893,3.2382,0.762,0.8283,45.5542,0.5191,2.0551,0,2.0551,8.088,444.8424,2.0093,12.1294,3.7964,8.333,0,0,0,0,0,0,6.7167,369.4161,1.9757,12.2626,3.0353,9.2273,1.549,85.194,0.7896,2.9266,0,2.9266,2.025,111.3758,0.4119,3.1064,1.216,1.8904,13.7043,753.7378,2.3237,18.8248,9.7208,9.104,0.2344,12.8894,0.2031,0.7714,0,0.7714,0.7895,43.4211,0.123,1.0009,0.5626,0.4383,28.8855,1588.7035,4.256,39.6384,20.8282,18.8103,59,27.7991,0.9594,9.8948,7.6109,0.6365,0.2008,0.4278,2.0551,0,4.7904,2.7654,12.1294,0,0.0172,0.0558,0.3669,0,6.0095,2.7478,12.6754,0.7832,1.1428,0.6012,2.9266,0,1.9718,0.5728,3.8482,0.4869,13.3591,3.4103,21.5344,3.6926,0.3177,0.2572,1.3666,0,0.759,0.1654,1.019,0.2785,19.3387,7.2866,39.6384,5.0745,0.0112,0.0492,0.4102,0,3.7938,2.1127,9.3454,0,0.0223,0.0628,0.3669,0,5.7958,2.9124,12.6754,0.7832,1.02,0.4689,2.6801,0,1.9558,0.6132,3.8482,0.4869,13.2547,3.6751,21.5344,3.6926,0.3429,0.2669,1.3666,0,0.7498,0.1755,1.019,0.2785,16.4536,5.2687,35.6221,5.0745,0.2142
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1159.4,95.94,33.25,21.0532,0.9427,7.7526,5.459,0.6956,4.3265,592.7328,1.6227,10.2678,1.6434,8.6244,0,0,0,0,0,0,0.0049,0.6713,0.0325,0.3074,0,0.3074,1.8691,256.0735,1.3308,5.0693,0,5.0693,2.2431,307.3073,0.4204,3.2071,1.1047,2.1024,1.9613,268.7034,0.2962,2.6818,1.2483,1.4335,22.0447,3020.1211,1.8586,27.227,16.3379,10.889,0.5962,81.6825,0.3504,1.4508,0,1.4508,0.798,109.3308,0.1278,1.1734,0.5366,0.6368,16.0127,2193.74,2.021,22.2745,12.9244,9.3501,94,34.779,0.9766,12.0849,9.8257,0.6002,1.6933,2.2343,10.2678,0,0.2056,0.8832,6.8239,0,0.0732,0.1399,0.8347,0,1.9764,1.3688,5.9851,0,1.997,0.5032,3.3108,0.6358,2.0935,0.5087,3.8878,1.0335,20.609,3.2053,27.227,9.8099,0.4734,0.3173,1.4508,0,0.8717,0.1372,1.2452,0.5366,15.4032,2.3217,22.2745,7.3328,0.2148,0.4783,2.7342,0,0.321,1.0874,6.8239,0,0.1115,0.1609,0.8347,0,2.0366,1.3887,5.9851,0,1.8588,0.4936,3.3108,0.6358,2.1677,0.5833,3.8878,1.0335,19.8029,3.5097,26.6687,9.8099,0.4045,0.2747,1.2586,0,0.913,0.1245,1.2452,0.5398,15.0609,2.4117,21.6194,7.3328,0.3453
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,904.09,96.7,27.5,19.1713,0.9402,6.5944,5.2973,0.5677,5.665,640.1447,2.8385,15.3658,2.2145,13.1513,0,0,0,0,0,0,0.1456,16.4474,0.2028,1.2147,0,1.2147,3.2244,364.3541,1.093,5.9496,0,5.9496,2.1571,243.7481,0.5281,3.556,1.0782,2.4778,2.0345,229.9029,0.2951,2.5643,1.2613,1.3029,20.5989,2327.6719,2.5018,24.6413,14.2453,10.396,0.1378,15.5764,0.176,0.6579,0,0.6579,0.7677,86.7467,0.1147,1.0436,0.5596,0.4839,14.7141,1662.6901,1.3448,17.7364,11.4347,6.3017,85,32.8893,0.9875,10.9758,9.6638,0.4594,2.0816,3.06,15.3658,0,0.109,0.3929,3.1082,0,0.3343,0.3103,1.9316,0,3.1831,1.3632,7.5791,0,2.0035,0.4406,3.556,1.0235,1.9553,0.4092,3.6995,1.0281,18.4491,3.1626,24.6413,11.3476,0.0789,0.1276,0.6579,0,0.8138,0.1204,1.1364,0.553,14.2202,1.6474,19.3813,8.5803,0.3056,0.6995,3.5356,0,0.163,0.4715,3.1082,0,0.4278,0.3121,1.9316,0,3.1626,1.4808,7.5791,0,1.9274,0.3682,3.4115,1.0235,1.916,0.4507,3.6995,1.0281,17.3837,2.9073,23.9494,11.3476,0.0496,0.0807,0.4745,0,0.8367,0.1167,1.1364,0.553,13.9754,1.7295,19.3813,8.5803,0.3199
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,TAMM: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,980.13,97.13,29.75,22.3461,0.7487,8.4795,5.0078,0.8167,1.7514,217.1764,1.0129,4.3251,0.2587,4.0663,2.2353,277.1805,3.01,10.4207,0,10.4207,0,0,0,0,0,0,6.1557,763.3038,3.2347,13.4552,0,13.4552,10.0531,1246.5856,8.0883,28.3454,0,28.3454,3.7648,466.8391,2.1014,9.3283,1.3589,7.9694,13.007,1612.8701,2.0314,19.09,9.9108,9.1792,0.2546,31.5688,0.2055,0.8136,0,0.8136,0.7048,87.3957,0.1568,1.1098,0.328,0.7818,23.7504,2945.0496,5.5423,33.1724,14.7621,18.4103,77.25,35.7394,0.76,13.2803,8.2325,0.8206,0.8186,1.0351,4.3251,0,3.3493,4.2391,18.1894,0,0.0135,0.0763,0.7464,0,5.9928,3.9485,15.4335,0,8.9728,8.4708,28.3454,0,4.145,2.3531,9.6533,1.3535,13.6548,2.3996,20.8117,9.9108,0.269,0.2208,1.1465,0,0.6755,0.1699,1.1098,0.3085,21.1836,5.9225,33.9947,11.3483,0.1967,0.3679,1.6204,0,4.0919,4.7545,18.1894,0,0.0225,0.0976,0.7464,0,5.8842,4.365,15.4335,0,8.2526,8.6631,25.8738,0,4.3984,2.4801,9.6533,1.3535,14.0866,2.5308,20.8117,9.9509,0.2786,0.2305,1.1465,0,0.6559,0.1758,0.9655,0.3085,19.4724,5.5501,33.9947,11.3483,0.3916
"Gbg LGG TMA 5 Panel 2_Core[1,10,F]_[15255,48068]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,864.92,98.07,29,22.74,0.7047,7.8876,5.8293,0.6085,1.396,168.9202,0.6282,3.0502,0,3.0502,0,0,0,0,0,0,0.3101,37.5171,0.3153,1.2189,0,1.2189,0.8445,102.1794,1.3191,6.6458,0,6.6458,3.1198,377.4962,0.4777,4.8674,1.9979,2.8695,1.7429,210.8932,0.3131,2.8343,1.1806,1.6537,21.0098,2542.1904,1.5822,25.0676,17.6824,7.3852,0.1136,13.741,0.1193,0.5575,0,0.5575,0.857,103.7023,0.1422,1.2805,0.6678,0.6127,14.4559,1749.1588,1.2454,18.2961,11.7605,6.5356,84.25,34.6919,0.8797,12.4141,8.9178,0.7049,0.5911,0.7533,3.0502,0,0,0,0,0,0.3642,0.3259,1.4743,0,1.2139,1.6332,7.5509,0,2.8671,0.5864,5.7332,1.3847,1.9205,0.4213,3.2417,1.1169,20.5907,1.9806,25.0676,13.4105,0.105,0.1344,0.758,0,0.9325,0.1629,1.434,0.6335,14.2805,1.5256,19.2315,9.6248,0.1463,0.3269,2.0632,0,0,0,0,0,0.3942,0.3285,1.4743,0,1.4181,1.7529,7.5509,0,2.7275,0.5951,5.7332,1.3847,2.0186,0.4415,3.2417,1.1169,20.3591,2.1379,24.6308,13.4105,0.1003,0.1421,0.758,0,0.9742,0.1588,1.434,0.6335,14.1836,1.655,19.2315,9.6248,0.3471
