Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 480 mean,Nucleus: Opal 480 sum,Nucleus: Opal 480 std dev,Nucleus: Opal 480 max,Nucleus: Opal 480 min,Nucleus: Opal 480 range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 540 mean,Nucleus: Opal 540 sum,Nucleus: Opal 540 std dev,Nucleus: Opal 540 max,Nucleus: Opal 540 min,Nucleus: Opal 540 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 650 mean,Nucleus: Opal 650 sum,Nucleus: Opal 650 std dev,Nucleus: Opal 650 max,Nucleus: Opal 650 min,Nucleus: Opal 650 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Opal 780 mean,Nucleus: Opal 780 sum,Nucleus: Opal 780 std dev,Nucleus: Opal 780 max,Nucleus: Opal 780 min,Nucleus: Opal 780 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 480 mean,Cell: Opal 480 std dev,Cell: Opal 480 max,Cell: Opal 480 min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 540 mean,Cell: Opal 540 std dev,Cell: Opal 540 max,Cell: Opal 540 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 650 mean,Cell: Opal 650 std dev,Cell: Opal 650 max,Cell: Opal 650 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Opal 780 mean,Cell: Opal 780 std dev,Cell: Opal 780 max,Cell: Opal 780 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 480 mean,Cytoplasm: Opal 480 std dev,Cytoplasm: Opal 480 max,Cytoplasm: Opal 480 min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 540 mean,Cytoplasm: Opal 540 std dev,Cytoplasm: Opal 540 max,Cytoplasm: Opal 540 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 650 mean,Cytoplasm: Opal 650 std dev,Cytoplasm: Opal 650 max,Cytoplasm: Opal 650 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Opal 780 mean,Cytoplasm: Opal 780 std dev,Cytoplasm: Opal 780 max,Cytoplasm: Opal 780 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,797.98,178.43,47.25,25.9841,0.8794,9.3174,6.6089,0.7243,8.5263,1654.0939,3.0119,18.9152,3.7315,15.1837,0,0,0,0,0,0,0.2814,54.5962,0.3096,1.2313,0,1.2313,11.4088,2213.3137,2.6202,17.8593,5.5582,12.3011,2.5905,502.5659,0.499,3.8865,1.1065,2.78,3.4149,662.4927,0.4888,4.7784,2.355,2.4234,17.7153,3436.7664,1.7138,24.198,12.8988,11.2991,0.2769,53.7213,0.279,1.3297,0,1.3297,0.6511,126.3092,0.1307,0.9689,0.4207,0.5482,16.4477,3190.8467,2.0906,23.9864,9.818,14.1684,119.25,39.7254,0.9496,13.9235,10.8688,0.5962,4.1112,4.4122,18.9152,0,0,0,0,0,0.5315,0.4048,1.9173,0,8.5125,4.6498,18.6734,0,2.5235,0.8121,5.7645,0.7413,3.4056,1.3068,7.4896,0.7223,17.7919,5.116,35.8173,6.7632,0.2582,0.3074,1.6999,0,0.6877,0.1871,1.5158,0.3335,15.0856,4.6045,34.2181,5.6458,1.1058,2.0546,10.8498,0,0,0,0,0,0.7017,0.3726,1.9173,0,6.541,4.7003,18.6734,0,2.4778,0.9672,5.7645,0.7413,3.3992,1.6468,7.4896,0.7223,17.844,6.4846,35.8173,6.7632,0.2455,0.3253,1.6999,0,0.7126,0.2139,1.5158,0.3335,14.1584,5.5303,34.2181,5.6458,0.3962
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,838.76,181.47,67,29.9718,0.9373,10.9316,7.8678,0.7058,7.1245,1923.6171,2.1647,16.1894,2.5821,13.6073,0,0,0,0,0,0,0.1992,53.7756,0.3832,2.1992,0,2.1992,0,0,0,0,0,0,2.8905,780.4259,0.5475,4.5961,1.8346,2.7615,1.5646,422.4309,0.2326,2.3635,0.9656,1.3979,26.9145,7266.9277,2.7839,33.5384,18.2363,15.3021,0.5327,143.8305,0.4855,2.5015,0,2.5015,0.565,152.5535,0.112,0.8888,0.3317,0.5571,13.4438,3629.8374,1.4763,17.6903,8.9213,8.7691,147.25,43.8069,0.9642,15.3941,12.2565,0.6139,3.4497,3.7354,16.1894,0,0,0,0,0,0.3887,0.469,2.1992,0,0.3376,0.9997,7.3651,0,2.5804,0.7635,4.6343,0.7889,1.4465,0.4466,3.0954,0.4265,22.453,6.675,33.5384,5.8052,0.6086,0.6133,3.3087,0,0.5929,0.1243,1.0708,0.3178,11.6415,2.9918,20.8366,4.992,0.349,0.859,3.7366,0,0,0,0,0,0.5487,0.4756,2.1772,0,0.6225,1.2913,7.3651,0,2.3187,0.8206,4.6343,0.7889,1.3468,0.5485,3.0954,0.4265,18.6886,6.6834,33.235,5.8052,0.6726,0.6977,3.3087,0,0.6164,0.1293,1.0708,0.3178,10.1207,3.1016,20.8366,4.992,0.4499
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,881.5,180.69,24,19.8082,0.7687,6.9162,5.2899,0.6822,3.2679,326.7942,0.9703,4.9051,1.0833,3.8218,0.0065,0.6473,0.0401,0.3808,0,0.3808,0.3429,34.2924,0.2826,1.4862,0,1.4862,2.1688,216.8846,1.2864,4.8113,0,4.8113,2.1286,212.8624,0.5146,3.5816,1.1719,2.4097,1.7754,177.5367,0.4592,2.9837,0.9538,2.03,14.3981,1439.8127,2.1324,20.11,9.6364,10.4736,0.1651,16.5117,0.1988,0.8281,0,0.8281,0.7159,71.5881,0.1317,1.0649,0.4403,0.6246,12.4953,1249.5298,2.5318,22.9184,9.3,13.6184,82.75,33.2585,0.9401,11.3975,9.7578,0.4824,1.0707,1.5603,4.9051,0,0.8011,2.9199,18.9503,0,0.5546,0.3795,1.9867,0,2.2081,1.6966,9.2536,0,1.9716,0.5202,3.5816,0.8284,1.7457,0.4691,3.1534,0.8843,13.4217,2.9449,20.2084,6.7765,0.1025,0.1651,1.0881,0,0.6759,0.1444,1.0649,0.3781,11.7865,3.7325,27.6435,7.0499,0.1236,0.3071,1.8431,0,1.1435,3.4387,18.9503,0,0.6459,0.38,1.9867,0,2.225,1.8479,9.2536,0,1.9039,0.5089,3.5656,0.8284,1.733,0.4738,3.1534,0.8843,13.0008,3.1444,20.2084,6.7765,0.0756,0.1403,1.0881,0,0.6586,0.1464,1.0179,0.3781,11.481,4.1115,27.6435,7.0499,0.2939
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,913.6,181.73,39,23.369,0.8974,8.531,5.9251,0.6708,8.078,1284.3967,3.1074,19.1991,2.5935,16.6056,0.0192,3.0526,0.119,1.1106,0,1.1106,0.1473,23.4251,0.2225,1.1559,0,1.1559,12.4546,1980.282,2.6121,17.4196,5.6697,11.7499,2.8428,451.9982,0.688,4.9424,1.2238,3.7186,2.8858,458.8433,0.5718,4.6461,1.8143,2.8318,15.0109,2386.74,1.5508,18.1009,11.3712,6.7297,0.157,24.9629,0.2167,1.0674,0,1.0674,0.6375,101.3553,0.0615,0.8575,0.5269,0.3306,19.9497,3172.0066,3.334,33.3423,15.5627,17.7796,105.25,37.2228,0.9546,13.065,10.3382,0.553,3.3909,4.1925,19.1991,0,0.4014,0.9602,5.3363,0,0.3499,0.4016,1.7644,0,10.0905,4.4913,22.1076,0.7671,2.7544,0.6907,5.2275,1.2238,2.7934,0.6427,4.6461,1.1923,14.7181,2.3829,19.9829,9.7033,0.1266,0.1907,1.0674,0,0.6554,0.0927,1.0193,0.4705,19.6267,3.8844,33.3423,10.4382,0.5787,1.1023,5.073,0,0.6307,1.1523,5.3363,0,0.4715,0.435,1.7644,0,8.672,4.7803,22.1076,0.7671,2.7015,0.6881,5.2275,1.3334,2.7379,0.6767,4.4505,1.1923,14.5423,2.7525,19.9829,9.7033,0.1084,0.1711,0.8238,0,0.6661,0.1059,1.0193,0.4705,19.4328,4.174,32.8388,10.4382,0.3673
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,966.94,184.97,69.25,30.0476,0.9639,10.9696,8.3383,0.6306,4.7704,1330.9418,1.1018,7.559,2.0678,5.4912,0,0,0,0,0,0,0,0,0,0,0,0,0.0198,5.5111,0.2109,3.2811,0,3.2811,2.145,598.4656,0.6496,5.1998,0.7677,4.4321,1.616,450.8678,0.3361,2.577,0.644,1.933,23.2308,6481.3882,4.3442,37.4774,13.7136,23.7638,1.5186,423.6986,0.5709,3.5533,0.4018,3.1515,0.4445,124.0118,0.1119,0.8293,0.2421,0.5872,12.5146,3491.564,2.1129,19.8474,7.5755,12.2719,148,43.62,0.9775,15.2171,12.5,0.5567,2.3608,2.4329,7.559,0,0.0293,0.1489,1.1998,0,0.0195,0.1329,1.8428,0,0.2447,0.7456,4.5701,0,1.9434,1.0148,5.6808,0.2117,1.4807,0.5753,3.015,0.0287,20.3854,8.6235,40.7943,1.7203,1.2758,0.7179,4.2539,0.003,0.4771,0.1573,0.8372,0.1032,11.4649,3.7154,21.411,2.192,0.213,0.5569,3.3004,0,0.0555,0.2014,1.1998,0,0.0369,0.1811,1.8428,0,0.4453,0.9632,4.5701,0,1.7637,1.2271,5.6808,0.2117,1.3601,0.7037,3.015,0.0287,17.8491,10.5051,40.7943,1.7203,1.0593,0.7655,4.2539,0.003,0.5061,0.1842,0.8372,0.1032,10.5292,4.5063,21.411,2.192,0.4589
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,941.92,189.64,14.5,14.1779,0.9065,5.2459,3.4429,0.713,1.9134,118.6291,0.7793,3.3971,0.4905,2.9066,0,0,0,0,0,0,0.0775,4.8066,0.0956,0.3482,0,0.3482,3.0311,187.9283,1.0793,4.9584,0.5212,4.4373,1.3858,85.9193,0.2233,2.0157,0.9525,1.0631,1.8241,113.0926,0.3295,2.6768,1.3074,1.3694,14.8582,921.2111,1.7199,20.3039,11.989,8.3149,0.4567,28.3162,0.2742,1.2483,0,1.2483,0.6141,38.0733,0.0918,0.8024,0.4718,0.3307,11.1563,691.6914,0.8552,12.9789,9.0748,3.9041,61,28.1293,0.9688,9.7433,7.9245,0.5817,0.5214,0.9042,3.3971,0,0.0095,0.0498,0.4311,0,0.1192,0.1858,0.9287,0,2.7803,1.8965,6.9495,0,1.2575,0.3328,3.0618,0.6094,1.776,0.679,3.4742,0.4097,15.2466,5.6879,27.4926,6.0894,0.4424,0.3156,1.8988,0,0.5714,0.0881,0.8024,0.3869,10.4359,2.1726,15.3682,5.9834,0.0574,0.1595,0.8193,0,0.0127,0.0572,0.4311,0,0.1331,0.2056,0.9287,0,2.6967,2.0952,6.9495,0,1.2148,0.3523,3.0618,0.6094,1.7599,0.7607,3.4742,0.4097,15.3761,6.4924,27.4926,6.0894,0.4377,0.3288,1.8988,0,0.5571,0.0823,0.7995,0.3869,10.1957,2.4143,15.3682,5.9834,0.2343
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,753.17,191.95,15,14.5175,0.8944,4.9502,4.1252,0.5904,1.9883,125.2651,0.8468,3.6846,0.1734,3.5111,0,0,0,0,0,0,0.1191,7.501,0.1292,0.4316,0,0.4316,8.0678,508.2685,3.1866,13.8423,1.9494,11.8929,2.2914,144.358,0.5685,3.3465,1.1039,2.2426,2.2374,140.9566,0.5481,3.0898,1.1766,1.9132,18.642,1174.4438,4.4555,24.3406,8.5459,15.7946,0.1625,10.2381,0.1826,0.8246,0,0.8246,0.6741,42.4696,0.1629,1.0045,0.3526,0.6519,15.5137,977.3649,4.5918,22.2604,7.2037,15.0567,62.25,28.2094,0.983,9.3899,8.5,0.3709,0.5282,0.9541,3.6846,0,0,0,0,0,0.414,0.5067,2.7585,0,6.6641,4.3308,15.9074,0,2.1419,0.8321,4.4287,0.5544,1.963,0.7788,3.3832,0.4491,15.6197,6.2615,26.177,5.7189,0.2308,0.228,0.9785,0,0.6374,0.1707,1.1564,0.3358,12.3544,4.7193,22.2604,5.363,0.0389,0.1421,0.9904,0,0,0,0,0,0.5128,0.5464,2.7585,0,6.1937,4.5631,15.9074,0,2.0918,0.8991,4.4287,0.5544,1.8711,0.8231,3.3832,0.4491,14.607,6.4594,26.177,5.7189,0.2537,0.2374,0.9785,0,0.625,0.1719,1.1564,0.3358,11.2957,4.2773,21.812,5.363,0.2352
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,788.11,193.71,28.75,21.1029,0.8113,7.3745,5.1894,0.7378,4.4732,541.2622,1.391,8.9671,1.6324,7.3347,0.0003,0.0389,0.0028,0.0298,0,0.0298,0.5088,61.5636,0.3162,1.3531,0,1.3531,4.4275,535.7284,1.1771,6.971,1.6826,5.2885,1.9996,241.9544,0.3949,3.0568,1.1342,1.9226,2.5569,309.3822,0.5185,4.9891,1.7036,3.2855,20.7394,2509.4685,1.6448,23.2631,15.442,7.8211,0.1208,14.6135,0.1434,0.6742,0,0.6742,0.6614,80.0321,0.1152,0.8625,0.371,0.4915,14.2025,1718.5011,0.9528,16.905,11.5882,5.3168,90.75,34.8077,0.9413,11.6983,9.7018,0.5184,1.6344,2.194,8.9671,0,0.0572,0.1997,1.3154,0,0.6368,0.3502,1.9929,0,2.9364,1.7819,6.971,0,1.9702,0.6177,3.979,0.4561,2.5552,0.7808,5.4582,0.5504,16.6162,4.7167,23.2631,3.1951,0.1721,0.2381,1.1746,0,0.5479,0.187,0.9092,0.1665,12.1142,2.4905,17.0048,4.1383,0.2324,0.528,3.2287,0,0.0853,0.2392,1.3154,0,0.7001,0.3495,1.9929,0,2.1999,1.556,6.8021,0,1.9557,0.7025,3.979,0.4561,2.5543,0.883,5.4582,0.5504,14.5799,4.3995,22.9246,3.1951,0.1975,0.2697,1.1746,0,0.4918,0.1903,0.9092,0.1665,11.0828,2.3667,17.0048,4.1383,0.3264
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,908.55,195.54,78.25,32.607,0.9249,11.9241,8.1325,0.7297,7.6044,2410.5845,1.9484,15.3669,2.8922,12.4747,0,0,0,0,0,0,0.0674,21.3656,0.201,1.2518,0,1.2518,0.1263,40.0516,0.5794,4.5726,0,4.5726,3.0577,969.2947,0.6937,5.7966,1.6389,4.1576,1.6623,526.9448,0.2804,2.6405,1.0346,1.6059,29.0717,9215.7441,3.6942,40.2038,19.8363,20.3675,0.3367,106.7295,0.3674,1.8676,0,1.8676,0.5157,163.491,0.1219,0.8993,0.356,0.5432,14.2935,4531.0449,1.9085,20.9356,10.8815,10.0541,164.25,46.4827,0.9553,16.462,12.339,0.6431,3.9064,3.8865,15.3669,0,0,0,0,0,0.4097,0.509,2.6957,0,1.035,1.6381,7.523,0,2.8959,0.874,5.8418,1.0547,1.7608,0.4495,3.1318,0.3944,25.3227,7.2125,40.2038,7.792,0.3485,0.3799,1.8676,0,0.5857,0.157,1.1412,0.356,13.1893,2.9004,22.4492,5.6056,0.4687,1.0284,5.1798,0,0,0,0,0,0.7279,0.5022,2.6957,0,1.8797,1.8405,7.523,0,2.7455,0.9907,5.8418,1.0547,1.8524,0.5476,3.1318,0.3944,21.8376,7.909,39.9992,7.792,0.3596,0.3914,1.852,0,0.6508,0.1581,1.1412,0.3905,12.1629,3.2676,22.4492,5.6056,0.4712
"Gbg LGG TMA 5 Panel 2_Core[1,11,I]_[20970,50036]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,924.69,195.65,55.25,28.2902,0.8675,10.647,6.4166,0.7873,7.7548,1729.319,2.1106,15.1875,3.5194,11.668,0,0,0,0,0,0,0.292,65.1099,0.2846,1.1705,0,1.1705,4.9522,1104.3427,1.1671,8.6596,1.2976,7.362,2.181,486.3615,0.48,3.9688,1.2257,2.7431,2.4963,556.6682,0.4877,5.0807,1.6787,3.402,20.2606,4518.1108,2.4539,26.3806,12.8079,13.5727,0.191,42.5936,0.2056,0.8313,0,0.8313,0.6617,147.5493,0.1553,1.1653,0.3824,0.7829,13.5257,3016.2393,1.4785,18.9013,11.2813,7.62,131.5,42.016,0.9361,15.2228,10.9145,0.6835,3.5078,3.9329,15.1875,0,0.0157,0.1159,1.5653,0,0.5386,0.4361,1.8775,0,3.5538,1.9417,8.6596,0,2.1205,0.6021,4.5099,0.7601,2.3018,0.612,5.0807,0.7011,17.3855,4.3579,27.0571,7.1335,0.2402,0.2722,1.5656,0,0.6136,0.2135,1.2803,0.1632,12.4727,2.5422,20.8772,6.3989,0.4228,0.9025,4.9585,0,0.0272,0.1513,1.5653,0,0.7177,0.4399,1.8775,0,2.538,1.7519,7.9212,0,2.0765,0.6745,4.5099,0.7601,2.1606,0.6538,4.9882,0.7011,15.2971,4.25,27.0571,7.1335,0.2759,0.3072,1.5656,0,0.5786,0.2416,1.2803,0.1632,11.7079,2.8621,20.8772,6.3989,0.4168
