Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 480 mean,Nucleus: Opal 480 sum,Nucleus: Opal 480 std dev,Nucleus: Opal 480 max,Nucleus: Opal 480 min,Nucleus: Opal 480 range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 540 mean,Nucleus: Opal 540 sum,Nucleus: Opal 540 std dev,Nucleus: Opal 540 max,Nucleus: Opal 540 min,Nucleus: Opal 540 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 650 mean,Nucleus: Opal 650 sum,Nucleus: Opal 650 std dev,Nucleus: Opal 650 max,Nucleus: Opal 650 min,Nucleus: Opal 650 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Opal 780 mean,Nucleus: Opal 780 sum,Nucleus: Opal 780 std dev,Nucleus: Opal 780 max,Nucleus: Opal 780 min,Nucleus: Opal 780 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 480 mean,Cell: Opal 480 std dev,Cell: Opal 480 max,Cell: Opal 480 min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 540 mean,Cell: Opal 540 std dev,Cell: Opal 540 max,Cell: Opal 540 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 650 mean,Cell: Opal 650 std dev,Cell: Opal 650 max,Cell: Opal 650 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Opal 780 mean,Cell: Opal 780 std dev,Cell: Opal 780 max,Cell: Opal 780 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 480 mean,Cytoplasm: Opal 480 std dev,Cytoplasm: Opal 480 max,Cytoplasm: Opal 480 min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 540 mean,Cytoplasm: Opal 540 std dev,Cytoplasm: Opal 540 max,Cytoplasm: Opal 540 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 650 mean,Cytoplasm: Opal 650 std dev,Cytoplasm: Opal 650 max,Cytoplasm: Opal 650 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Opal 780 mean,Cytoplasm: Opal 780 std dev,Cytoplasm: Opal 780 max,Cytoplasm: Opal 780 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,695.08,202.3,47.25,28.4873,0.7317,10.6086,6.0673,0.8163,3.607,696.1555,0.8027,6.4868,2.1408,4.3459,0,0,0,0,0,0,0.0087,1.6757,0.0461,0.4334,0,0.4334,0,0,0,0,0,0,1.3833,266.9797,0.5712,3.124,0.3921,2.7319,0.9052,174.6956,0.373,1.6189,0,1.6189,29.4832,5690.2524,4.9968,40.2171,20.434,19.7831,0.4667,90.0792,0.473,2.1489,0,2.1489,0.5666,109.347,0.176,0.9373,0.2224,0.7149,12.5466,2421.489,2.8472,20.3538,8.1881,12.1658,113,40.8868,0.8494,14.5376,10.3582,0.6677,1.9638,1.715,6.4868,0,0,0,0,0,0.1399,0.393,2.9855,0,0.119,0.6101,6.905,0,1.8065,1.0765,6.3533,0.2736,1.055,0.4637,2.6568,0,28.3116,5.9867,44.576,13.2258,0.3858,0.4653,2.729,0,0.6216,0.1921,1.0927,0.2224,13.0064,3.1753,25.7964,8.1881,0.7487,1.0782,4.884,0,0,0,0,0,0.2369,0.4953,2.9855,0,0.207,0.7939,6.905,0,2.1195,1.2438,6.3533,0.2736,1.1657,0.4929,2.6568,0,27.4453,6.4989,44.576,13.2258,0.326,0.4511,2.729,0,0.6622,0.1936,1.0927,0.2564,13.3464,3.3627,25.7964,8.1994,0.4232
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,684.75,205.89,99,38.9469,0.8202,14.8842,8.3514,0.8276,5.258,2082.1846,1.0512,8.4744,2.0655,6.4089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5752,623.7632,0.4886,3.2319,0.6953,2.5366,0.9403,372.3705,0.4243,2.2193,0,2.2193,38.6488,15304.9141,5.045,50.5096,28.7667,21.7429,0.7581,300.2245,0.615,3.2012,0,3.2012,0.5128,203.0505,0.155,1.0479,0.2753,0.7726,13.0253,5158.021,1.8303,17.8863,9.3491,8.5372,187.75,52.4378,0.858,19.3169,12.2657,0.7743,3.0414,2.581,8.4744,0,0.001,0.0153,0.2518,0,0.0482,0.1649,1.6299,0,0.2115,0.8472,7.0167,0,1.7187,0.6916,4.398,0.5367,1.0687,0.5422,3.2694,0,35.0725,7.9061,50.5096,9.094,0.5993,0.6427,3.5179,0,0.6243,0.231,1.767,0.2753,13.9394,3.0791,27.4224,7.0542,0.5757,1.1336,4.4216,0,0.002,0.0223,0.2518,0,0.1017,0.2282,1.6299,0,0.4468,1.1888,7.0167,0,1.8784,0.8353,4.398,0.5367,1.2115,0.6187,3.2694,0,31.0944,8.5892,49.1302,9.094,0.4225,0.6273,3.5179,0,0.7483,0.2384,1.767,0.3079,14.9561,3.7895,27.4224,7.0542,0.5271
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,656,206.58,17.75,20.4182,0.535,8.177,3.5969,0.905,4.0426,295.1104,0.9242,5.9604,1.906,4.0544,0,0,0,0,0,0,0,0,0,0,0,0,0.0081,0.5912,0.0692,0.5912,0,0.5912,1.6162,117.982,0.4213,2.7201,1.0237,1.6964,0.9467,69.1123,0.4364,1.5841,0,1.5841,34.9469,2551.1211,4.9999,47.1187,25.7308,21.3879,0.5527,40.3473,0.6541,2.5767,0,2.5767,0.5283,38.5681,0.1532,1.0368,0.3143,0.7225,13.8774,1013.0519,1.5994,17.1387,10.6251,6.5136,73,32.5312,0.8668,11.8342,8.0407,0.7234,2.2786,2.074,5.9604,0,0.0001,0.0019,0.0326,0,0.0979,0.3048,2.1956,0,0.6659,2.0729,14.9449,0,2.3399,1.3273,7.9318,0.9255,1.0464,0.5085,2.6273,0,34.8815,7.6365,54.788,12.622,0.5167,0.7278,3.7087,0,0.7039,0.314,1.5877,0.2421,15.2218,2.6262,22.8932,9.9821,1.6986,2.0195,5.6396,0,0.0001,0.0022,0.0326,0,0.1301,0.3455,2.1956,0,0.8822,2.3505,14.9449,0,2.5779,1.4339,7.9318,0.9255,1.0792,0.5269,2.6273,0,34.86,8.3326,54.788,12.622,0.5049,0.7514,3.7087,0,0.7616,0.3317,1.5877,0.2421,15.6639,2.7474,22.8932,9.9821,0.2319
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,671.78,209.01,65,29.3906,0.9456,10.0934,8.4971,0.5105,4.3437,1151.0778,1.0899,7.7138,1.9025,5.8113,0,0,0,0,0,0,0.0017,0.4527,0.0224,0.3504,0,0.3504,0,0,0,0,0,0,1.3385,354.7061,0.4502,3.1056,0.4883,2.6173,0.9795,259.5608,0.2794,1.7164,0.1906,1.5258,27.1092,7183.9365,3.0567,37.9754,19.842,18.1335,0.2199,58.2698,0.3078,2.0248,0,2.0248,0.5621,148.9478,0.1428,0.8844,0.3007,0.5837,11.3749,3014.3386,1.7445,16.1484,8.2784,7.8699,142.75,42.7591,0.9811,14.1709,12.9067,0.373,2.3326,2.156,7.7138,0,0,0,0,0,0.0954,0.3609,3.0326,0,0.0696,0.4184,5.0311,0,1.7161,1.2226,7.2107,0.4503,1.0762,0.3828,2.1716,0.1414,26.3955,7.693,50.2552,6.0467,0.1523,0.2551,2.0248,0,0.6692,0.2618,1.5698,0.2842,13.1009,3.9779,31.0411,4.9263,0.6023,1.0697,5.0417,0,0,0,0,0,0.176,0.4776,3.0326,0,0.1295,0.5643,5.0311,0,2.041,1.5433,7.2107,0.4503,1.1595,0.4369,2.1716,0.1414,25.7814,10.0705,50.2552,6.0467,0.0942,0.1802,1.1163,0,0.7614,0.3029,1.5698,0.2842,14.586,4.699,31.0411,4.9263,0.4525
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,646.84,209.7,20.25,17.898,0.7944,6.4185,4.6079,0.7441,3.3408,287.3094,1.2688,5.9833,0.992,4.9912,0.8737,75.1425,1.6216,7.9534,0,7.9534,0.0008,0.0705,0.0076,0.0705,0,0.0705,1.4065,120.9561,1.4873,6.3038,0,6.3038,2.6717,229.764,0.5711,4.565,0.6058,3.9593,0.532,45.755,0.1696,0.951,0.0903,0.8607,17.875,1537.2468,7.1394,39.8312,11.414,28.4172,0.3251,27.9609,0.6295,3.5471,0,3.5471,0.5366,46.1457,0.0693,0.6805,0.3915,0.289,25.4556,2189.1846,3.0482,34.9833,20.1221,14.8612,72,31.2357,0.9273,11.1813,8.2494,0.6551,1.5212,1.7057,5.9833,0,2.265,3.0685,12.3271,0,0.0733,0.2055,1.1048,0,3.3002,3.8124,16.5903,0,2.3665,0.8603,4.565,0.0122,0.9368,0.5058,2.3948,0.0228,20.7463,8.6815,52.7658,11.414,0.2981,0.647,3.5471,0,0.6276,0.1521,1.2712,0.3915,24.5631,4.3425,39.7515,12.8447,0.7465,1.2057,4.6087,0,2.8573,3.3394,12.3271,0,0.1042,0.2388,1.1048,0,4.1065,4.1988,16.5903,0,2.2366,0.9285,4.3344,0.0122,1.1091,0.5032,2.3948,0.0228,21.9688,9.0017,52.7658,11.7164,0.2866,0.6555,3.3205,0,0.6664,0.161,1.2712,0.4031,24.1831,4.7445,39.7515,12.8447,0.2831
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,598.3,223.06,10,11.7729,0.9067,4.2434,3.0942,0.6436,0.919,39.5152,0.7233,2.3401,0,2.3401,0,0,0,0,0,0,0.0762,3.2785,0.1324,0.5667,0,0.5667,0.0241,1.0364,0.1193,0.7257,0,0.7257,1.8971,81.5749,0.285,2.4835,1.1528,1.3307,0.6906,29.6949,0.2332,1.1573,0.0916,1.0658,21.2979,915.8096,4.5277,28.2504,7.2069,21.0435,0.1596,6.8644,0.1811,0.6377,0,0.6377,0.7653,32.9079,0.1301,0.9851,0.3469,0.6383,11.42,491.0616,1.6688,15.8088,6.2595,9.5493,52,25.8028,0.9815,8.8135,7.3068,0.5178,0.1903,0.4926,2.3401,0,0.0939,0.2271,0.9654,0,0.1628,0.2726,1.4743,0,0.3513,0.7966,4.1414,0,1.4468,0.8256,4.017,0.2227,0.6273,0.3671,1.6526,0.0142,13.2451,8.1358,30.1929,1.551,0.1144,0.1571,0.7501,0,0.5569,0.2735,1.1879,0.1081,8.6393,3.8221,17.0172,1.9772,0.0027,0.0144,0.1326,0,0.1181,0.2492,0.9654,0,0.1851,0.2945,1.4743,0,0.4355,0.872,4.1414,0,1.3308,0.8784,4.017,0.2227,0.611,0.3932,1.6526,0.0142,11.1717,7.5517,30.1929,1.551,0.1028,0.1487,0.7501,0,0.5033,0.2753,1.1879,0.1081,7.9233,3.8948,17.0172,1.9772,0.1918
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,647.78,228.68,30.75,21.8531,0.8092,8.4123,4.8373,0.8485,5.1706,651.4929,2.1852,10.6411,1.2827,9.3584,11.6546,1468.4773,2.9528,18.0831,5.9296,12.1535,0,0,0,0,0,0,3.2973,415.4539,3.9829,18.3399,0,18.3399,2.816,354.8125,0.8525,4.8172,0.1998,4.6174,1.0971,138.2368,0.2492,1.6823,0.3551,1.3272,20.0027,2520.3342,3.7891,26.8748,11.3983,15.4765,0.0252,3.1756,0.0722,0.4531,0,0.4531,0.9078,114.3874,0.0771,1.1846,0.7721,0.4125,38.9919,4912.9854,3.7857,51.8463,31.114,20.7323,94.5,35.9201,0.9204,12.8241,9.5443,0.6946,2.0074,2.6421,10.6411,0,8.918,4.0859,18.1398,0,0.0397,0.158,1.1961,0,7.3891,5.087,24.8234,0,1.6979,1.1916,4.8172,0,1.0124,0.2998,2.2262,0.19,14.909,5.1054,26.8748,4.1914,0.0438,0.0874,0.586,0,0.7546,0.1795,1.1846,0.315,29.1587,10.4554,51.8463,7.5033,0.4383,0.8018,3.217,0,7.5605,3.8886,18.1398,0,0.0593,0.1904,1.1961,0,9.4189,4.2958,24.8234,1.8519,1.1433,0.9148,4.5206,0,0.9703,0.314,2.2262,0.19,12.3822,3.5526,23.2607,4.1914,0.053,0.0927,0.586,0,0.6786,0.1668,1.1294,0.315,24.2807,9.1996,50.2422,7.5033,0.3235
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,687.74,228.82,35.75,21.461,0.9754,7.0704,6.5276,0.3809,6.4438,934.35,1.5608,9.4323,2.1543,7.278,0,0,0,0,0,0,0.0071,1.0329,0.0381,0.3053,0,0.3053,1.6546,239.9172,2.6461,14.4209,0,14.4209,20.9538,3038.3037,7.1107,32.7947,3.9936,28.8011,3.9404,571.3574,1.4429,6.952,0.8121,6.1399,18.8513,2733.4414,3.5148,24.3187,9.4991,14.8196,0,0,0,0,0,0,0.8191,118.7639,0.1018,1.0813,0.5143,0.567,19.6746,2852.8132,5.1677,34.8412,11.5342,23.307,97.25,35.2798,0.9819,11.535,10.8423,0.2073,2.616,3.1523,9.4323,0,0.0914,0.2972,2.7741,0,0.1657,0.295,1.9921,0,2.4284,3.081,17.1686,0,10.3455,9.6406,32.7947,1.0254,2.1786,1.6854,6.952,0.196,13.9217,5.4103,24.3187,4.0124,0.0261,0.0627,0.4363,0,0.7073,0.2299,1.2974,0.2221,15.3902,6.4578,34.8412,5.2523,0.3599,0.7767,3.4179,0,0.1452,0.3644,2.7741,0,0.2592,0.3376,1.9921,0,2.8845,3.2299,17.1686,0,4.0927,3.5169,17.2369,1.0254,1.1401,0.6148,3.3957,0.196,11.0161,4.0589,21.7769,4.0124,0.0415,0.075,0.4363,0,0.6415,0.2575,1.2974,0.2221,12.8649,5.7811,32.7705,5.2523,0.3607
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,553.4,238.32,19,21.7821,0.5032,7.2809,4.3811,0.8789,1.6265,130.1177,0.6472,2.8387,0,2.8387,0.0114,0.9142,0.0762,0.6165,0,0.6165,0.013,1.0379,0.0373,0.2003,0,0.2003,0.3414,27.3087,0.73,4.0091,0,4.0091,10.3933,831.4639,2.6683,15.7724,3.0273,12.7451,2.6749,213.9915,0.6513,3.9636,1.1279,2.8357,15.1734,1213.8707,2.923,24.6155,10.4833,14.1321,0.0044,0.3539,0.0304,0.2698,0,0.2698,0.6732,53.8584,0.1545,1.1281,0.4978,0.6303,13.168,1053.4413,3.3135,26.6088,9.6452,16.9637,67,34.0531,0.7261,11.8951,7.8487,0.8012,0.5361,0.8059,2.8387,0,0.083,0.2333,1.2804,0,0.1201,0.2033,0.9197,0,0.6848,0.9812,5.6548,0,6.2849,4.7192,17.282,0.3139,1.7291,1.0609,4.0511,0.0569,13.7985,5.2259,25.3676,1.7151,0.0557,0.1092,0.5982,0,0.6648,0.2243,1.1973,0.1162,12.3046,4.3059,26.6088,2.2995,0.0818,0.207,1.3375,0,0.1128,0.268,1.2804,0,0.1647,0.2264,0.9197,0,0.8279,1.0371,5.6548,0,4.573,4.3172,17.282,0.3139,1.335,0.9438,4.0511,0.0569,13.2256,5.839,25.3676,1.7151,0.0771,0.1224,0.5982,0,0.6613,0.2479,1.1973,0.1162,11.9448,4.6176,24.2588,2.2995,0.2784
"Gbg LGG TMA 5 Panel 2_Core[1,12,H]_[19002,52259]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,684.07,240.12,36.75,22.9889,0.8738,7.8734,5.8219,0.6702,2.6567,393.1949,1.0276,6.6852,1.0974,5.5878,0.0019,0.2799,0.0156,0.1761,0,0.1761,0.0051,0.7491,0.0323,0.2735,0,0.2735,0.1458,21.5735,0.6096,4.6638,0,4.6638,12.4492,1842.484,4.4582,21.9129,2.9814,18.9315,2.8797,426.1922,0.9492,4.4665,0.7656,3.7008,13.0896,1937.2656,3.6606,21.0823,4.8505,16.2319,0,0,0,0,0,0,0.5685,84.1382,0.1926,0.9502,0.2222,0.728,12.3386,1826.1121,2.7819,18.3072,7.5835,10.7238,102.25,36.2633,0.9771,12.2389,10.3709,0.4845,1.0781,1.3692,6.6852,0,0.3347,0.698,6.5769,0,0.1048,0.2056,1.3745,0,0.8034,1.6188,7.5764,0,6.5621,5.5697,21.9129,0.6733,1.6512,1.2091,4.4665,0.0777,11.1678,4.9065,21.0823,1.8708,0.0279,0.0671,0.459,0,0.536,0.2537,1.1208,0.1312,11.2993,4.2332,22.251,2.8221,0.1898,0.3762,1.9686,0,0.5221,0.8152,6.5769,0,0.1608,0.2383,1.3745,0,1.1734,1.8736,7.5764,0,3.2491,2.6075,14.723,0.6733,0.9599,0.671,3.5314,0.0777,10.0863,5.186,20.8068,1.8708,0.0436,0.0797,0.459,0,0.5177,0.281,1.1208,0.1312,10.7144,4.7694,22.251,2.8221,0.359
