Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 480 mean,Nucleus: Opal 480 sum,Nucleus: Opal 480 std dev,Nucleus: Opal 480 max,Nucleus: Opal 480 min,Nucleus: Opal 480 range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 540 mean,Nucleus: Opal 540 sum,Nucleus: Opal 540 std dev,Nucleus: Opal 540 max,Nucleus: Opal 540 min,Nucleus: Opal 540 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 650 mean,Nucleus: Opal 650 sum,Nucleus: Opal 650 std dev,Nucleus: Opal 650 max,Nucleus: Opal 650 min,Nucleus: Opal 650 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Opal 780 mean,Nucleus: Opal 780 sum,Nucleus: Opal 780 std dev,Nucleus: Opal 780 max,Nucleus: Opal 780 min,Nucleus: Opal 780 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 480 mean,Cell: Opal 480 std dev,Cell: Opal 480 max,Cell: Opal 480 min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 540 mean,Cell: Opal 540 std dev,Cell: Opal 540 max,Cell: Opal 540 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 650 mean,Cell: Opal 650 std dev,Cell: Opal 650 max,Cell: Opal 650 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Opal 780 mean,Cell: Opal 780 std dev,Cell: Opal 780 max,Cell: Opal 780 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 480 mean,Cytoplasm: Opal 480 std dev,Cytoplasm: Opal 480 max,Cytoplasm: Opal 480 min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 540 mean,Cytoplasm: Opal 540 std dev,Cytoplasm: Opal 540 max,Cytoplasm: Opal 540 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 650 mean,Cytoplasm: Opal 650 std dev,Cytoplasm: Opal 650 max,Cytoplasm: Opal 650 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Opal 780 mean,Cytoplasm: Opal 780 std dev,Cytoplasm: Opal 780 max,Cytoplasm: Opal 780 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,936.9,407.6,15.75,15.8291,0.7899,6.081,3,0.8533,7.7933,529.9429,2.1084,11.0469,2.7815,8.2654,14.1507,962.2485,3.5286,21.6061,5.517,16.0891,0,0,0,0,0,0,13.6388,927.4374,2.2173,18.1326,8.5576,9.5749,0.5497,37.3817,0.8831,3.3685,0,3.3685,4.5363,308.4659,1.8758,10.4372,2.5195,7.9177,9.7896,665.6924,1.0193,11.9531,6.9481,5.0051,1.488,101.1815,0.531,2.8156,0.3603,2.4553,0.3946,26.8339,0.0851,0.5398,0.2203,0.3195,39.7202,2700.9746,5.8089,47.2065,21.3882,25.8182,59.25,28.7493,0.9008,10.0233,7,0.6202,3.0884,3.8581,11.0469,0,6.584,6.2746,21.6061,0,0.8341,1.9501,9.5648,0,11.7459,4.4249,24.5451,1.3132,0.8578,0.8807,3.3778,0,5.8911,3.8861,17.0237,1.5165,9.7685,2.9482,17.8798,5.1861,1.5093,0.597,2.947,0.2259,0.4835,0.2715,1.4593,0.2005,29.9677,9.6369,47.2065,14.4628,1.2175,2.5906,10.2355,0,3.5751,4.2666,21.1863,0,1.1658,2.2215,9.5648,0,10.9932,4.8447,24.5451,1.3132,0.9803,0.8517,3.3778,0,6.4298,4.3278,17.0237,1.5165,9.7601,3.4291,17.8798,5.1861,1.5177,0.6226,2.947,0.2259,0.5188,0.3097,1.4593,0.2005,26.0894,7.9715,44.985,14.4628,0.262
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,PathAnnotationObject,Polygon,836.36,408.9,9.75,11.2533,0.9675,4.1072,2.9352,0.715,2.0037,84.1545,1.0278,3.9478,0.0749,3.8729,0.9537,40.0573,2.1049,7.3329,0,7.3329,0.0357,1.4977,0.1037,0.566,0,0.566,0.9418,39.5559,1.2407,4.455,0,4.455,2.7029,113.5216,0.7191,4.4814,1.4187,3.0627,1.7893,75.1486,0.5657,3.1525,0.7723,2.3802,20.6856,868.7957,3.5232,29.1781,15.6877,13.4905,0.3435,14.4272,0.5455,2.3461,0,2.3461,1.0246,43.0342,0.2189,1.6937,0.7565,0.9372,22.0556,926.335,3.112,30.7165,15.9579,14.7586,48.5,25.0901,0.9682,8.7164,7,0.5224,0.4372,0.9441,3.9478,0,1.1924,2.0668,7.8527,0,0.0715,0.1823,1.3528,0,3.0429,3.9895,15.4038,0,1.9749,0.9069,4.4814,0.0579,1.4915,0.7735,3.1525,0.0375,14.6375,5.6613,29.3258,3.0067,0.2541,0.3856,2.3461,0,0.844,0.2678,1.6937,0.25,17.6578,7.0721,33.3974,3.5782,0.0155,0.097,0.8963,0,1.2567,2.0585,7.8527,0,0.0811,0.1973,1.3528,0,3.6086,4.2782,15.4038,0,1.779,0.8522,3.9322,0.0579,1.4114,0.8033,3.0866,0.0375,13.0092,4.9871,29.3258,3.0067,0.23,0.3279,1.4534,0,0.7954,0.2594,1.6262,0.25,16.4738,7.3725,33.3974,3.5782,0.1907
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,898.1,412.59,58,28.08,0.9244,9.5743,7.8671,0.5927,10.2282,2434.323,2.9492,21.1034,4.041,17.0624,0,0,0,0,0,0,0,0.0067,0.0004,0.0057,0,0.0057,0,0,0,0,0,0,1.2051,286.818,0.3709,2.8089,0.6389,2.17,1.5653,372.5312,0.3043,2.51,0.8992,1.6108,28.6217,6811.9736,3.5727,35.544,16.2098,19.3342,0.7219,171.8224,0.6286,2.8256,0,2.8256,0.5284,125.7695,0.2063,1.0969,0.1735,0.9234,11.9697,2848.7854,1.0486,14.6173,9.4798,5.1375,126,41.0786,0.9383,14.0961,11.1893,0.5978,5.2932,5.2144,21.1034,0,0,0,0,0,0.1207,0.26,2.0978,0,0.4885,1.569,9.5948,0,1.6602,0.6875,4.2915,0.5944,1.5376,0.4461,3.2996,0.1055,24.1052,7.19,37.8114,6.0703,0.5725,0.601,2.8256,0,0.6508,0.2388,1.4706,0.1735,11.9307,1.8971,18.7145,5.8709,0.9105,1.6483,8.4556,0,0,0,0,0,0.2279,0.3215,2.0978,0,0.9223,2.0626,9.5948,0,2.0644,0.6507,4.2915,0.5944,1.513,0.5411,3.2996,0.1055,20.0943,7.2191,37.8114,6.0703,0.4397,0.5429,2.6392,0,0.7595,0.2118,1.4706,0.3394,11.896,2.4143,18.7145,5.8709,0.4715
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,853.64,414.93,58,30.998,0.7585,10.4808,7.5495,0.7273,13.0732,3085.269,3.9836,27.5244,4.365,23.1594,0,0,0,0,0,0,0.0096,2.255,0.0501,0.4247,0,0.4247,0.0419,9.8865,0.2307,2.3305,0,2.3305,2.3364,551.3871,0.5843,4.412,1.2406,3.1715,2.0634,486.9644,0.345,3.0867,1.2471,1.8396,30.7822,7264.604,6.7118,40.7874,13.1586,27.6288,0.1694,39.9828,0.3131,1.6927,0,1.6927,0.7728,182.3789,0.187,1.3379,0.4812,0.8567,16.7134,3944.363,2.2056,22.5789,11.9993,10.5795,137,43.2596,0.92,14.856,11.4851,0.6476,6.2503,6.6671,27.5244,0,0.0277,0.2042,2.3687,0,0.1007,0.2273,2.0233,0,0.3726,0.776,4.5893,0,2.3202,0.8977,5.9449,0.8614,1.8252,0.49,3.2682,0.5695,23.8734,9.8852,40.9526,7.2155,0.1744,0.3187,2.0309,0,0.8193,0.1908,1.3422,0.4705,15.5396,3.7901,23.8219,7.6239,1.1059,2.0877,9.8717,0,0.0486,0.2687,2.3687,0,0.1693,0.279,2.0233,0,0.622,0.9341,4.5893,0,2.308,1.0761,5.9449,0.8614,1.6456,0.5067,3.2682,0.5695,18.6641,8.6239,40.9526,7.2155,0.1781,0.3232,2.0309,0,0.8543,0.1864,1.3422,0.4705,14.6545,4.4428,23.8219,7.6239,0.4165
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,PathAnnotationObject,Polygon,990.93,410.63,9.5,13.5805,0.6473,5.8983,2.1094,0.9356,8.9769,368.0547,2.1972,11.8794,4.9865,6.8928,0.0003,0.0105,0.0016,0.0105,0,0.0105,0,0,0,0,0,0,2.1027,86.2104,1.1967,4.9473,0.0811,4.8662,2.1158,86.7461,0.22,2.5283,1.6922,0.8361,2.2251,91.2296,0.3599,3.1562,1.5573,1.5989,16.2803,667.4925,0.9978,18.0383,14.0329,4.0054,0.5154,21.1329,0.3263,1.3487,0.0188,1.3299,0.9669,39.6418,0.1464,1.1977,0.6533,0.5444,18.1139,742.671,1.7621,21.3565,15.5462,5.8103,55,28.1146,0.8744,10.6666,6.4568,0.8052,5.0973,5.3727,21.4141,0,0.0097,0.0617,0.4673,0,0.0081,0.0487,0.4095,0,2.7252,1.2044,6.6465,0.0811,1.8731,0.4048,2.847,0.8919,2.4033,0.4197,3.3467,1.5573,15.8547,1.6375,20.0119,11.2446,0.4857,0.3381,1.6527,0.0023,0.9449,0.1378,1.3278,0.6533,16.8623,2.555,24.5135,12.1778,4.2185,5.4921,21.4141,0,0.0119,0.0681,0.4673,0,0.01,0.0537,0.4095,0,2.8662,1.1638,6.6465,0.1739,1.8182,0.4171,2.847,0.8919,2.4436,0.4226,3.3467,1.6944,15.7583,1.7379,20.0119,11.2446,0.479,0.3412,1.6527,0.0023,0.9399,0.1357,1.3278,0.6852,16.5788,2.6244,24.5135,12.1778,0.1676
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,PathAnnotationObject,Polygon,980.53,413.32,29.75,20.5004,0.8896,7.5635,4.6957,0.756,12.9524,1567.2399,4.6181,25.0312,4.5512,20.48,0.0268,3.2488,0.1135,0.6992,0,0.6992,0,0,0,0,0,0,1.2219,147.8532,1.0485,5.3362,0,5.3362,1.9849,240.1676,0.3234,3.017,1.2569,1.76,2.2985,278.1139,0.2984,3.1458,1.6366,1.5091,16.7041,2021.1973,1.9728,21.3591,11.1909,10.1682,0.8464,102.4098,0.4779,2.22,0.0042,2.2159,1.0299,124.6184,0.1123,1.2601,0.8304,0.4297,19.2924,2334.3762,3.2924,28.9023,12.0486,16.8537,89,34.1244,0.9604,11.8651,9.1416,0.6182,5.026,6.4306,25.0312,0,0.0412,0.1848,1.8204,0,0.0214,0.0878,0.8984,0,2.1959,1.7728,7.0792,0,1.8137,0.4281,3.0922,0.8082,2.6415,0.7503,6.2763,1.2645,15.5062,2.5719,22.5156,8.7292,0.722,0.4472,2.22,0,1.0162,0.1383,1.3518,0.6547,17.0762,3.714,29.9954,10.9242,0.9792,1.7468,8.3393,0,0.0485,0.212,1.8204,0,0.0324,0.1063,0.8984,0,2.6931,1.8603,7.0792,0,1.7264,0.4487,3.0922,0.8082,2.8166,0.8457,6.2763,1.2645,14.8946,2.6298,22.5156,8.7292,0.6585,0.4176,1.9578,0,1.0091,0.1496,1.3518,0.6547,15.9447,3.3986,29.9954,10.9242,0.3289
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,824.42,413.79,16.5,16.0326,0.8066,6.4311,3.6459,0.8088,2.4011,170.4766,0.982,4.3804,0.349,4.0315,0.0205,1.4545,0.0757,0.4945,0,0.4945,0.0317,2.2476,0.1023,0.6123,0,0.6123,0.0533,3.7819,0.142,0.68,0,0.68,1.3486,95.7531,0.5036,2.1792,0.4886,1.6906,0.6124,43.4811,0.295,1.2477,0.1572,1.0905,11.1128,789.007,5.012,22.6226,3.6704,18.9522,0.533,37.8396,0.5559,2.5186,0,2.5186,0.5157,36.6126,0.1037,0.6985,0.3371,0.3613,8.7544,621.5625,2.1698,12.4985,4.1079,8.3906,68,30.4152,0.9237,11.4325,8.1895,0.6993,0.7136,1.1337,4.3804,0,0.3572,0.5653,4.5477,0,0.0485,0.1114,0.6326,0,0.1962,0.744,6.7901,0,0.9669,0.6098,2.2957,0.0863,0.5537,0.4392,2.1072,0,8.6546,6.5409,28.7239,0.4741,0.4963,0.5876,3.1623,0,0.4002,0.1817,0.7255,0.0896,6.9715,3.8317,18.5836,1.2781,0.1204,0.2096,1.0931,0,0.4755,0.6134,4.5477,0,0.0544,0.114,0.6326,0,0.2465,0.8558,6.7901,0,0.8327,0.5876,2.2957,0.0863,0.533,0.4787,2.1072,0,7.7906,6.8016,28.7239,0.4741,0.4834,0.5992,3.1623,0,0.3596,0.1859,0.7255,0.0896,6.3448,4.0879,18.5836,1.2781,0.2462
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,921.82,415.29,46.25,25.774,0.8749,9.1365,7.4794,0.4453,6.3641,1209.1794,1.5706,9.1515,2.8243,6.3272,0,0,0,0,0,0,0.0402,7.6413,0.1323,1.0112,0,1.0112,0.0094,1.7873,0.0928,1.046,0,1.046,2.1021,399.393,0.6319,4.341,1.0639,3.2771,1.8073,343.3818,0.4658,3.5799,0.9537,2.6262,28.091,5337.291,3.4979,35.0733,19.809,15.2643,0.605,114.9431,0.4796,1.9256,0,1.9256,0.6738,128.031,0.2839,1.3406,0.2495,1.091,13.4107,2548.0393,1.8198,17.5635,9.4717,8.0917,102.75,37.9631,0.8959,13.0967,10.2138,0.5404,3.1279,3.2561,9.1515,0,0,0,0,0,0.2148,0.324,1.7389,0,0.9611,1.9271,9.375,0,2.3565,0.7419,4.4963,1.0639,2.0306,0.6594,4.0542,0.6377,24.3233,6.8554,35.0733,10.3468,0.4003,0.4551,1.9256,0,0.7935,0.2609,1.3406,0.2495,13.5341,2.1013,19.0562,8.1098,0.3707,0.988,6.6378,0,0,0,0,0,0.3635,0.3629,1.7389,0,1.7719,2.3343,9.375,0,2.5733,0.7609,4.4963,1.2139,2.2209,0.7371,4.0542,0.6377,21.1131,7.3688,34.6383,10.3468,0.2259,0.3496,1.6581,0,0.8954,0.1871,1.3111,0.4603,13.6392,2.3133,19.0562,8.1098,0.4594
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1005.8,413.78,23.5,21.0801,0.6646,8.1944,4.2493,0.866,4.0452,392.3871,1.1809,7.5545,2.0651,5.4895,0,0,0,0,0,0,0.0094,0.9166,0.0383,0.2784,0,0.2784,10.1984,989.2402,1.884,15.5143,6.0089,9.5054,8.0095,776.9256,2.4436,12.6927,2.9228,9.7699,3.8982,378.1271,0.4359,5.0618,2.5621,2.4997,15.204,1474.7874,3.8018,25.2352,9.5084,15.7269,0.5989,58.0927,0.5073,2.1267,0,2.1267,0.7927,76.8887,0.1556,1.1328,0.4709,0.6619,15.7326,1526.0669,2.0576,23.7731,11.5218,12.2513,83,35.2167,0.841,12.7032,8.6917,0.7282,2.2426,2.2059,7.9469,0,0.0455,0.4205,5.1404,0,0.0569,0.1332,0.7464,0,8.2111,3.3688,16.041,0,5.5497,3.6691,13.6605,0.6748,3.3748,0.8128,5.0618,1.0911,15.1572,4.2599,26.3613,8.0669,0.5109,0.4374,2.1267,0,0.7881,0.1763,1.1766,0.4233,15.234,2.8726,24.0931,9.6756,1.5016,2.1006,7.9469,0,0.0643,0.4986,5.1404,0,0.0764,0.1521,0.7464,0,7.3943,3.5047,16.041,0,4.5387,3.6132,13.6605,0.6748,3.1597,0.8344,5.0431,1.0911,15.1379,4.442,26.3613,8.0669,0.4748,0.4008,1.5995,0,0.7862,0.1844,1.1766,0.4233,15.0291,3.1279,24.0931,9.6756,0.2771
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,PathAnnotationObject,Polygon,789.85,416.59,24.75,18.3284,0.9258,6.3888,5.2237,0.5253,14.7925,1508.8308,4.3602,23.7701,5.6207,18.1495,0.3039,30.994,1.2824,8.3942,0,8.3942,0.0032,0.3292,0.0164,0.1174,0,0.1174,0.1899,19.37,0.4977,2.7035,0,2.7035,3.0288,308.9373,0.6788,4.5411,1.7318,2.8093,2.1208,216.324,0.2428,2.8339,1.5767,1.2572,31.5368,3216.7534,2.2711,37.3167,26.7573,10.5594,0.104,10.6103,0.1857,1.082,0,1.082,1.0168,103.7146,0.2985,1.6642,0.6085,1.0556,26.239,2676.3813,3.4349,35.3851,19.9985,15.3866,80.25,32.2753,0.9681,10.918,9.5,0.4007,5.3156,7.0989,23.7701,0,0.9211,2.647,14.9766,0,0.1353,0.2502,1.4328,0,0.7053,1.2719,6.4058,0,2.6962,0.7805,4.6484,0.6109,2.028,0.5456,3.5842,0.4693,24.2473,6.7728,37.3167,6.5424,0.1444,0.2478,1.8972,0,1.0503,0.2577,1.6642,0.5203,22.5127,6.0238,37.4065,7.6568,0.9018,1.8903,8.9402,0,1.2086,3.0433,14.9766,0,0.1969,0.2825,1.4328,0,0.9454,1.4414,6.4058,0,2.5413,0.7778,4.6484,0.6109,1.9847,0.6354,3.5842,0.4693,20.8522,5.3387,31.2383,6.5424,0.1633,0.2702,1.8972,0,1.0659,0.2354,1.6466,0.5203,20.7771,6.1867,37.4065,7.6568,0.3178
