,Name,Astrocyte_Astrocyte_30,Astrocyte_Endothelial_30,Astrocyte_Glioma_30,Astrocyte_Negative_30,Astrocyte_Neuron_30,Astrocyte_TAMM_30,Endothelial_Astrocyte_30,Endothelial_Endothelial_30,Endothelial_Glioma_30,Endothelial_Negative_30,Endothelial_Neuron_30,Endothelial_TAMM_30,Glioma_Astrocyte_30,Glioma_Endothelial_30,Glioma_Glioma_30,Glioma_Negative_30,Glioma_Neuron_30,Glioma_TAMM_30,Negative_Astrocyte_30,Negative_Endothelial_30,Negative_Glioma_30,Negative_Negative_30,Negative_Neuron_30,Negative_TAMM_30,Neuron_Astrocyte_30,Neuron_Endothelial_30,Neuron_Glioma_30,Neuron_Negative_30,Neuron_Neuron_30,Neuron_TAMM_30,TAMM_Astrocyte_30,TAMM_Endothelial_30,TAMM_Glioma_30,TAMM_Negative_30,TAMM_Neuron_30,TAMM_TAMM_30,Astrocyte_Astrocyte_50,Astrocyte_Endothelial_50,Astrocyte_Glioma_50,Astrocyte_Negative_50,Astrocyte_Neuron_50,Astrocyte_TAMM_50,Endothelial_Astrocyte_50,Endothelial_Endothelial_50,Endothelial_Glioma_50,Endothelial_Negative_50,Endothelial_Neuron_50,Endothelial_TAMM_50,Glioma_Astrocyte_50,Glioma_Endothelial_50,Glioma_Glioma_50,Glioma_Negative_50,Glioma_Neuron_50,Glioma_TAMM_50,Negative_Astrocyte_50,Negative_Endothelial_50,Negative_Glioma_50,Negative_Negative_50,Negative_Neuron_50,Negative_TAMM_50,Neuron_Astrocyte_50,Neuron_Endothelial_50,Neuron_Glioma_50,Neuron_Negative_50,Neuron_Neuron_50,Neuron_TAMM_50,TAMM_Astrocyte_50,TAMM_Endothelial_50,TAMM_Glioma_50,TAMM_Negative_50,TAMM_Neuron_50,TAMM_TAMM_50,nCells,Astrocyte_abundance,Endothelial_abundance,Glioma_abundance,Negative_abundance,Neuron_abundance,TAMM_abundance,Astrocyte_fraction,Endothelial_fraction,Glioma_fraction,Negative_fraction,Neuron_fraction,TAMM_fraction
0,"LGG TMA 5_2_Core[1,1,A]_[3229,34793]_component_data.tif - resolution #1",inf,1.3524880397445698,-3.5694770936923663,5.849964946357327,2.597643691317982,0.40739761213173176,3.734286380829923,inf,-5.462056373269638,6.8463114435601495,-1.1573819215334662,2.3627763113434517,0.8504478546812821,-8.770513523178792,inf,1.6192572370658487,-1.1460270059253141,2.8217511850199677,6.330210240012431,3.368534896820154,-4.108419035104237,inf,0.2797009528004984,3.5757490864216863,3.1490871921241648,-1.1675309401698843,-0.6953545487030875,0.7589704280718607,,-1.6377829323859616,0.2781753897870502,0.21714256018805408,-1.6150499891540178,2.9482826466370513,-1.7859188868994749,inf,inf,2.2904048507907047,-4.641324389815645,8.27726562903314,0.9593291746503481,-0.719844038959475,3.0179230425648256,inf,-4.674440332693599,6.007547007176271,1.2738810231400897,1.6887928164455972,-0.753004153774422,-4.259514364256252,inf,0.10980831296527983,-1.2670378150029349,3.8603960979729988,8.516075095368342,5.010928524572554,-5.451439921324136,inf,2.0014912897687087,4.0205611558226035,1.071191318964818,1.2631398392824102,-1.366852221871505,2.1547787563408436,,-1.223069592360637,-1.215797071935482,0.7171488317244278,-1.2631301715251049,3.0013195574171534,-1.332501229008228,inf,5121,374,155,3388,895,4.0,305,0.07303261081819958,0.030267525873852764,0.6615895332942785,0.17477055262644015,0.0007810974419058778,0.05955867994532318
1,"LGG TMA 5_2_Core[1,1,D]_[9381,34277]_component_data.tif - resolution #1",inf,-0.3170955457514359,0.6077893244048153,-0.22844938042662058,,-0.5748126396483753,-0.019797784517883724,inf,-6.729064644414166,3.4876896183886954,,6.512023563712755,1.7118462678584594,-6.793968869456091,inf,1.3305911325767996,,0.7800622582600031,-0.02347477200139523,2.1896171895628243,-3.063240822472466,inf,,4.211837690091793,,,,,,,-0.7918163859641446,4.958425763047967,-3.4655279367158323,2.3890480009215884,,inf,inf,-0.5479548592825495,-0.21763451997918098,0.5928949868250502,,-0.33122263838391314,-0.6089477578526274,inf,-6.0305228861000195,3.3903593933564165,,5.587827253409988,0.5268079968041041,-4.724256173462799,inf,1.2393041850989324,,0.27767268757790714,0.4912786465382065,3.569560370817787,-3.2715962803169574,inf,,3.663780633225573,,,,,,,-0.6383862106807933,5.266796675351777,-3.5467877024405046,2.351172983007117,,inf,2845,45,96,1264,1076,,364,0.015817223198594025,0.03374340949033392,0.4442882249560633,0.378207381370826,,0.12794376098418278
2,"LGG TMA 5_2_Core[1,1,E]_[11207,33999]_component_data.tif - resolution #1",inf,-3.6474186197042546,0.3127805035607042,0.8188428303030482,,1.0971512923955804,-0.3510424878028909,inf,-1.7652706355368095,2.428406667050362,,2.581895613531318,0.21551926573759397,-5.935095066852632,inf,1.7504492764126494,,2.202050976021728,-0.5455936385980942,-0.8747528163134859,-0.07850554759210322,inf,,2.2510800191441467,,,,,,,-0.6757369905241494,-0.2087743929035592,-0.22343843761636056,1.6002845306137454,,inf,inf,-0.08025908499963252,-2.0425545769209195,3.0838051962248514,,1.4274214274068244,1.6051526764116129,inf,-3.1658625966920897,2.603051325337467,,2.131920133787206,-2.5857729364881212,-5.287565730997212,inf,5.091635125006807,,2.7671079754011436,-0.5716477961080345,-0.009102912708552657,0.3970150125015561,inf,,0.10813621488516198,,,,,,,-0.6210714652511061,0.4752522981138334,0.16953325288654642,0.31738899339499843,,inf,1420,396,59,719,171,,75,0.27887323943661974,0.04154929577464789,0.5063380281690141,0.12042253521126761,,0.0528169014084507
3,"LGG TMA 5_2_Core[1,1,F]_[12993,33999]_component_data.tif - resolution #1",inf,0.23117701778003888,-0.8355445213533452,0.653925835698722,,1.813332656951757,0.8777530926553202,inf,-2.3958482708436417,3.4638180244906693,,1.1005988652303285,0.3438656856280095,-3.595237867273132,inf,1.9714335802519483,,-0.24992408619696926,0.8020776720809024,1.748902368845568,-0.9374101135943022,inf,,0.9071773884328357,,,,,,,1.9269117022925053,0.5135267158129316,-1.1057784264443258,1.003212214657119,,inf,inf,1.0458153700022075,-0.9284999941097228,0.3765946129888332,,1.8408403472952237,0.9897842550504199,inf,-2.210034295459839,3.4274888421633065,,0.22911497188380925,-0.45854077133680554,-1.228820238828227,inf,0.2582164773725343,,1.4637200985750045,0.38328786683474575,3.603434572985078,-1.1728270314829348,inf,,-0.24493127359396052,,,,,,,1.6467497617889097,0.035640011768171984,0.071526440620315,-0.7161725882265018,,inf,1796,46,107,1203,384,,56,0.025612472160356347,0.05957683741648107,0.6698218262806236,0.21380846325167038,,0.031180400890868598
4,"LGG TMA 5_2_Core[1,1,G]_[14858,33920]_component_data.tif - resolution #1",inf,0.44451386019391825,-0.7185716761011177,1.1820786996672523,,0.534711900030037,0.9693243299915172,inf,-3.090165678539877,4.690490630412168,,3.4381438300387246,-1.408226333129564,-5.708573702790072,inf,1.2421630882841845,,1.178284684414146,0.5962710494164916,2.1137970013666902,-0.4012358298524961,inf,,0.2930452848247488,,,,,,,0.15910626676827977,1.823974567888307,-0.23146559237323852,0.016891940997672536,,inf,inf,0.523268997457354,0.3974163179599073,-1.232732749591773,,0.4885896782299375,1.139688847233486,inf,-3.186432389982389,4.717431584366367,,3.6979485985133866,-1.531783387855792,-7.517929118824733,inf,1.9317904784739035,,0.806748598890588,-2.2199767660695553,1.4980568422635254,0.35817639048154565,inf,,-0.8721578096255997,,,,,,,-0.0598638683328487,1.8536100462782392,0.18113661420198587,-0.8130008126034084,,inf,1851,26,17,1429,302,,77,0.014046461372231226,0.009184224743381956,0.7720151269584009,0.16315505132360886,,0.041599135602377095
5,"LGG TMA 5_2_Core[1,1,H]_[16684,33920]_component_data.tif - resolution #1",inf,0.48189303756115665,-0.19303497821897572,-1.2134720191482191,,4.203382072171307,-3.0657395393472244,inf,0.7929808496533245,2.1375022413206937,,1.3760870360180224,-11.40521276689059,0.2725883715493482,inf,14.401852267789998,,-1.1516274787935856,-10.88413581677688,-0.18668853772917524,8.218311520666706,inf,,-0.1342728094526278,,,,,,,1.577251029355885,1.0246833793657588,-1.7603257115837065,0.402895314361583,,inf,inf,1.1950328650335282,-1.6306960631870686,1.119915722965242,,2.9291549918108544,-3.592549901362029,inf,2.2557748818226506,0.5695746713271387,,0.3834247380537205,-15.629303101613091,2.0860640607503247,inf,18.490593443541474,,-1.1813495228482196,-11.966696461908922,-2.2445283640333913,10.031079797818506,inf,,-1.4631796192574762,,,,,,,0.8438588990448357,0.5026774705850581,-0.7917144407223815,-0.016955059322422243,,inf,3246,861,210,1604,527,,44,0.26524953789279115,0.06469500924214418,0.4941466420209489,0.16235366605052373,,0.013555144793592114
6,"LGG TMA 5_2_Core[1,1,I]_[18521,33854]_component_data.tif - resolution #1",inf,-0.5566826625621418,-0.9327211099791771,1.7556321557244823,,-1.4127001587886558,-0.2464870318925472,inf,-2.359560109644443,1.3178462172811916,,3.9489327745472136,-1.8510710836964217,-3.0542488853356553,inf,2.453656704493931,,0.08923119276515497,-0.5840231570062436,-0.007727003774073395,0.2590551864638089,inf,,0.4743013346797202,,,,,,,-1.9390553397636756,3.362019030323948,-0.2966378527224243,0.8276996972148004,,inf,inf,0.6577598382572636,-0.3815648606719143,0.8018360188136545,,-1.5076512347574544,-0.4598329191050274,inf,-1.6839225171324013,0.15722439098468238,,5.462395817487922,-1.7596086224795136,-0.6642289113006685,inf,1.9303998709262442,,-0.7210927572109266,-1.2571157119931997,0.8033671248370047,0.7129738065863461,inf,,-0.07202856461934316,,,,,,,-1.8951107458462986,6.024374844783948,-0.6567956157769054,0.3741757616443885,,inf,1791,359,54,717,578,,83,0.2004466778336125,0.03015075376884422,0.40033500837520936,0.32272473478503627,,0.0463428252372976
7,"LGG TMA 5_2_Core[1,1,J]_[20494,33642]_component_data.tif - resolution #1",inf,-2.2136659197253645,-0.9541409804409406,0.5792187789195521,,1.0122679462455797,-0.523775661704008,inf,-1.2942769322005443,0.241932658876598,,1.8641083382207058,-0.32628658637993213,-2.493681304679921,inf,-0.20285356538708502,,1.4484154984069184,0.425437701045429,-1.6338804617516185,-0.9614601198699785,inf,,1.0444939553630963,,,,,,,-0.06769876189549145,-0.10605829558785144,0.019470017204761696,0.07506136345852339,,inf,inf,-0.9094563047076214,-1.147192055157668,1.1077577609322395,,0.14803406599435964,0.21586126950014511,inf,-1.2266655520266496,1.2200422910485988,,-0.49057719104001274,0.5066855164231517,-1.7946183004005312,inf,-0.2213476077386814,,0.1720648146261481,1.4606105290545293,0.10038576872496358,-1.5687840487538016,inf,,-0.1358446140171353,,,,,,,0.6748633834619641,-1.1905045810375012,-0.6075727728522954,0.13103095790929356,,inf,1466,434,22,328,435,,247,0.296043656207367,0.015006821282401092,0.22373806275579808,0.2967257844474761,,0.1684856753069577
8,"LGG TMA 5_2_Core[1,10,A]_[4341,50391]_component_data.tif - resolution #1",inf,-0.2597235920205664,0.9497069819074921,-1.2123953334398774,,0.062033341427676025,1.1967039065703575,inf,-1.8620917545034845,2.4687279078344275,,-0.8278253977384569,2.7048492083328877,-4.522459375847794,inf,-0.32957062656482616,,2.4618189631857224,-0.035650828886229065,0.11404672913425581,-0.192822402943539,inf,,0.44338472015962144,,,,,,,0.24534300197503078,-2.049856050285637,1.009831962000425,-0.5910421934236264,,inf,inf,-0.7776823325696542,0.9533738688944747,-0.601919980173052,,-0.7589255002211164,-0.1860170563834193,inf,0.38304113780036164,0.6749347600755741,,-2.3369457606620827,3.10260983922406,0.42282537403147785,inf,-2.8437609503249686,,2.664650375510483,1.3830294265090235,1.2363889755469446,-1.0798676503696576,inf,,0.6594092849207082,,,,,,,-0.3855125077627243,-2.613868145488089,1.481750028378698,-0.7437013386067224,,inf,1203,53,63,657,350,,80,0.04405652535328346,0.05236907730673317,0.5461346633416458,0.29093931837073983,,0.06650041562759768
9,"LGG TMA 5_2_Core[1,10,C]_[8190,50232]_component_data.tif - resolution #1",inf,-1.6946008604584715,-0.06834446659091127,1.5026759004958776,,-3.7205018877983287,-0.8412151665655728,,-0.8592099256479345,0.8165849033446568,,1.1961461719442485,2.380903782380242,-2.563969268274136,inf,-0.2939432237824948,,-2.2122072985745156,4.1695163860921065,-1.8536362765828698,-0.39000318016560087,inf,,-4.774353708200906,,,,,,,-1.1500125927479514,0.10507009375750631,1.636667312067387,-0.9340362306800689,,inf,inf,-0.9081075371030374,-1.262520037222456,3.2254175296784986,,-5.581138978924872,0.4293886698559202,,-1.4843112786348363,0.8735378116315963,,0.8204515812957722,1.8671186711480545,-3.054104887428981,inf,-0.013508993380130428,,-2.1126756152997577,6.097173489398241,-1.4440932517852074,-1.2365914578752808,inf,,-5.574199146916442,,,,,,,-2.574091885476794,0.23699594709374597,2.2432324690412293,-0.7685225227460915,,inf,1028,121,2,394,456,,55,0.11770428015564202,0.0019455252918287938,0.3832684824902724,0.44357976653696496,,0.053501945525291826
